指標名,コンベンション施設,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,
年次,2021/2/15取得,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention-venues/,,,,,,
備考,部屋数、収容人数などは各URLを参照。（2019年度：179件、2020年度：203件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
港区,高輪３丁目,-,東京都港区高輪3-13-3 SHINAGAWA GOOS1F,35.629789,139.73595,TKPガーデンシティ品川,http://gc-shinagawa.net/
港区,浜松町２丁目,-,東京都港区浜松町二丁目3番1号,35.656293,139.75560,浜松町コンベンションホール,http://www.hmc.conventionhall.jp/
港区,海岸１丁目,-,東京都港区海岸1-11-1,35.655797,139.76382,ニューピアホール,http://www.newpier-hall.jp/
港区,海岸１丁目,-,東京都港区海岸1-16-1 ﾆｭｰﾋﾟｱ竹芝ｻｳｽﾀﾜｰ4F,35.653707,139.76241,ニューピア竹芝 サウスタワー,http://www.tokyo-teleport.co.jp
港区,海岸１丁目,-,東京都港区海岸1-16-2,35.653100,139.76237,ホテル インターコンチネンタル 東京ベイ,http://www.interconti-tokyo.com
港区,海岸１丁目,-,東京都港区海岸1-10-27,35.656297,139.76301,シーサイドホテル芝弥生会館,http://www.nre.co.jp
港区,海岸１丁目,-,東京都港区海岸1-11-2,35.655276,139.76325,ホテル アジュール竹芝,http://www.hotel-azur.com
港区,海岸２丁目,-,東京都港区海岸2-7-104,35.650572,139.76040,シンフォニークルーズ,http://www.slt.jp
港区,元赤坂２丁目,-,東京都港区元赤坂2-2-23,35.678099,139.72216,明治記念館,http://www.meijikinenkan.gr.jp/
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ﾉ門1-23-4,35.666883,139.74939,アンダーズ 東京,http://tokyo.andaz.hyatt.com/ja/hotel/home.html
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ﾉ門1-23-3 虎ﾉ門ﾋﾙｽﾞ森ﾀﾜｰ5階,35.666888,139.74938,虎ノ門ヒルズフォーラム,http://forum.academyhills.com/toranomon/
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ﾉ門2-9-16,35.668020,139.74617,ニッショーホール(日本消防会館),http://nissho-hall.jp/
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ﾉ門2-10-4,35.667050,139.74547,ホテルオークラ東京,http://www.hotelokura.co.jp/tokyo
港区,港南１丁目,-,東京都港区港南1-9-36 ｱﾚｱ品川3F~5F,35.630008,139.74125,東京コンファレンスセンター・品川,http://www.tokyo-cc.co.jp
港区,港南１丁目,-,東京都港区港南1-8-35,35.630190,139.74331,コクヨホール,http://www.kokuyo.co.jp/com/hall/
港区,港南１丁目,-,"東京都 港区港南1-6-41 品川ｸﾘｽﾀﾙｽｸｴｱ2,3F",35.631353,139.74561,フクラシア　品川クリスタルスクエア,https://www.fukuracia.jp
港区,港南２丁目,-,東京都港区港南2-15-2 品川ｲﾝﾀｰｼﾃｨﾎｰﾙ棟地下1階(ｲﾝﾀｰｼﾃｨ管理事務所),35.626151,139.74206,品川インターシティ 貸会議室,http://www.sicity.co.jp
港区,港南２丁目,-,東京都港区港南2-16-4 品川ｸﾞﾗﾝﾄﾞｾﾝﾄﾗﾙﾀﾜｰ3F,35.626638,139.74056,ザ・グランドホール,http://www.tg-hall.com
港区,港南２丁目,-,東京都港区港南2-16-1 品川ｲｰｽﾄﾜﾝﾀﾜｰ,35.627788,139.74075,ストリングスホテル東京インターコンチネンタル,http://intercontinental-strings.jp/
港区,高輪３丁目,-,東京都港区高輪3-13-1,35.629979,139.73353,グランドプリンスホテル新高輪,http://www.princehotels.co.jp/takanawa-area
港区,高輪３丁目,-,東京都港区高輪3-13-1,35.629979,139.73353,グランドプリンスホテル高輪,http://www.princehotels.co.jp/takanawa-area
港区,高輪３丁目,-,東京都港区高輪3-13-1,35.629979,139.73353,ザ・プリンス さくらタワー東京,http://www.princehotels.co.jp/takanawa-area
港区,高輪４丁目,-,東京都港区高輪4-10-30,35.628047,139.73546,エプソン アクアパーク品川,http://www.aqua-park.jp/aqua/
港区,高輪４丁目,-,東京都港区高輪4-10-30,35.628047,139.73546,品川プリンスホテル,http://www.princehotels.co.jp/shinagawa/
港区,三田３丁目,-,東京都港区三田3-12-12,35.642562,139.74285,笹川記念館,http://www.sasakawahall.jp
港区,芝２丁目,-,東京都港区芝2-5-2,35.652730,139.75110,東京グランドホテル,http://www.tokyogrand.gr.jp/
港区,芝４丁目,-,東京都港区芝4-1-23 三田NNﾋﾞﾙ地下1階,35.649051,139.74947,三田NNホール,http://www.mita-nn-hall.com
港区,芝５丁目,-,東京都港区芝5-26-20,35.647528,139.74626,建築会館ホール,http://www.aij.or.jp/kentikukaikan.html
港区,芝浦３丁目,-,東京都港区芝浦3-16-18,35.641793,139.74920,ホテルJALシティ田町・東京,http://www.tamachi.jalcity.co.jp
港区,芝公園１丁目,-,東京都港区芝公園1-5-10,35.658772,139.75192,芝パークホテル,http://www.shibaparkhotel.com
港区,芝公園２丁目,-,東京都港区芝公園2-5-20,35.655246,139.75139,メルパルク東京,http://www.mielparque.jp
港区,芝公園３丁目,虎ノ門,東京都港区芝公園3-3-1,35.659005,139.74808,東京プリンスホテル,http://www.princehotels.co.jp/tokyo
港区,芝公園４丁目,-,東京都港区芝公園4-8-1,35.655344,139.74708,ザ・プリンスパークタワー東京,http://www.princehotels.co.jp/parktower
