指標名,コンビニ,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2021/2/3取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,"（2019年度：1,758件、2020年度：2,130件）",,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,,区,軒数,セブン,ローソン,ファミリーマート,その他
品川区,西五反田３丁目,-,東京都品川区西五反田3丁目7-10,35.625654,139.71815,セブンイレブン 品川西五反田3丁目店,,,,,,,
品川区,西大井４丁目,-,東京都品川区西大井4-17-12,35.594801,139.71828,ファミリーマート 西大井四丁目店,,,,,,,
品川区,西大井６丁目,-,東京都品川区西大井6-5-1,35.601369,139.71865,セブンイレブン 西大井店,,,,,,,
品川区,上大崎３丁目,-,東京都品川区上大崎3-4-1,35.634119,139.71871,ファミリーマート 上大崎三丁目店,,,,,,,
品川区,西五反田７丁目,-,東京都品川区西五反田7-22-17,35.621871,139.71903,ナチュラルローソン 五反田TOC店,,,,,,,
品川区,西五反田３丁目,-,東京都品川区西五反田3-6-22,35.627609,139.71912,セブンイレブン 西五反田店,,,,,,,
品川区,戸越５丁目,-,東京都品川区戸越5-20-12,35.608138,139.71921,セブンイレブン 品川戸越5丁目店,,,,,,,
品川区,戸越４丁目,-,東京都品川区戸越4-3-28,35.612821,139.71935,ローソン・スリーエフ 戸越四丁目北店,,,,,,,
品川区,西大井５丁目,-,東京都品川区西大井5-11-16,35.599943,139.71953,ローソンストア100 LS西大井五丁目店,,,,,,,
品川区,西五反田２丁目,-,東京都品川区西五反田2-31-6,35.624745,139.71965,ローソン 西五反田店,,,,,,,
品川区,二葉３丁目,-,東京都品川区二葉3丁目29-10,35.601803,139.71983,ファミリーマート 二葉三丁目店,,,,,,,
品川区,西五反田２丁目,-,東京都品川区西五反田2-11-20,35.627562,139.71984,ローソンストア100 LS品川西五反田二丁目店,,,,,,,
品川区,上大崎３丁目,-,東京都品川区上大崎3-14-34 十一屋ヒ ゙ル,35.629223,139.71991,ファミリーマート 上大崎店,,,,,,,
品川区,戸越１丁目,-,東京都品川区戸越1-19-15,35.614733,139.72051,ファミリーマート 戸越銀座東店,,,,,,,
品川区,西五反田７丁目,-,東京都品川区西五反田7丁目9-2五反田TGビル,35.623741,139.72058,ファミリーマート 西五反田七丁目店,,,,,,,
品川区,西五反田２丁目,-,東京都品川区西五反田2-13-5,35.626716,139.72065,ローソン 西五反田二丁目店,,,,,,,
品川区,西五反田２丁目,-,東京都品川区西五反田2-27-3,35.625074,139.72120,ファミリーマート 西五反田二丁目店,,,,,,,
品川区,西五反田８丁目,-,東京都品川区西五反田8-7-11,35.622256,139.72131,ナチュラルローソン 西五反田八丁目店,,,,,,,
品川区,豊町４丁目,-,東京都品川区豊町4丁目20-11,35.604265,139.72132,ファミリーマート 品川豊町四丁目店,,,,,,,
品川区,西五反田８丁目,-,東京都品川区西五反田8-1-5,35.623234,139.72160,セブンイレブン 大崎広小路駅西店,,,,,,,
品川区,西五反田２丁目,-,東京都品川区西五反田2-8-1,35.626834,139.72160,セブンイレブン 西五反田2丁目店,,,,,,,
品川区,西大井１丁目,-,東京都品川区西大井1-1-2ー103,35.601217,139.72197,ファミリーマート 西大井駅前店,,,,,,,
品川区,西五反田２丁目,-,東京都品川区西五反田2-7-8,35.626343,139.72248,ナチュラルローソン 西五反田二丁目店,,,,,,,
品川区,西大井１丁目,-,東京都品川区西大井1丁目8-2,35.600898,139.72257,ファミリーマート 西大井一丁目店,,,,,,,
品川区,西大井１丁目,-,東京都品川区西大井1ー4ー20,35.601790,139.72258,セブンイレブン 品川西大井駅前店,,,,,,,
品川区,西五反田２丁目,-,東京都品川区西五反田2丁目6-8,35.626583,139.72262,ファミリーマート 五反田駅前店,,,,,,,
品川区,大崎４丁目,-,東京都品川区大崎4-1-2ウィン第2五反田ビル,35.622558,139.72287,ファミリーマート 大崎広小路店,,,,,,,
品川区,西五反田１丁目,-,東京都品川区西五反田1-18-9,35.623500,139.72303,セブンイレブン 西五反田1丁目店,,,,,,,
品川区,東五反田５丁目,-,東京都品川区東五反田5-28-11,35.627345,139.72304,ファミリーマート 東五反田五丁目店,,,,,,,
品川区,西五反田１丁目,-,東京都品川区西五反田1-4-8,35.625322,139.72307,ファミリーマート 西五反田一丁目店,,,,,,,
品川区,西大井２丁目,-,東京都品川区西大井2-4-7,35.599955,139.72311,トムキャット,,,,,,,
品川区,西大井２丁目,-,東京都品川区西大井2-14-3,35.599629,139.72349,セブンイレブン 西大井滝王子通り店,,,,,,,
品川区,西五反田１丁目,-,東京都品川区西五反田1-11-1アイオス五反田駅前,35.624489,139.72351,ファミリーマート 五反田駅南店,,,,,,,
品川区,西品川３丁目,-,東京都品川区西品川3-4-4,35.617027,139.72368,ローソン 西品川店,,,,,,,
品川区,西五反田１丁目,-,東京都品川区西五反田1-14-2,35.623701,139.72393,セブンイレブン 西五反田1丁目東店,,,,,,,
品川区,東五反田５丁目,-,東京都品川区東五反田5丁目25-18 KECビル,35.627617,139.72454,ファミリーマート 東五反田桜田通り店,,,,,,,
品川区,西品川２丁目,-,東京都品川区西品川2-9-22,35.613751,139.72462,ローソン 西品川三ツ木通店,,,,,,,
品川区,大崎３丁目,-,東京都品川区大崎3-1-3,35.621274,139.72475,セブンイレブン 品川大崎3丁目店,,,,,,,
品川区,東五反田１丁目,-,東京都品川区東五反田1-14-14,35.626077,139.72480,ローソン H五反田駅東口店,,,,,,,
品川区,東五反田１丁目,-,東京都品川区東五反田1-12-2,35.627026,139.72492,セブンイレブン 品川東五反田1丁目店,,,,,,,
品川区,東五反田５丁目,-,東京都品川区東五反田5-9-22,35.631307,139.72558,ミニストップ NTT関東病院店,,,,,,,
品川区,東五反田１丁目,-,東京都品川区東五反田1-17-1,35.626837,139.72571,ローソン H東五反田店,,,,,,,
品川区,東五反田４丁目,-,東京都品川区東五反田4丁目11-10,35.629996,139.72589,ファミリーマート NTT関東病院前店,,,,,,,
品川区,東五反田１丁目,-,東京都品川区東五反田1-18-3,35.626677,139.72619,ファミリーマート 東五反田郵便局東店,,,,,,,
品川区,東五反田１丁目,-,東京都品川区東五反田1-21-10,35.625903,139.72642,セブンイレブン 五反田店,,,,,,,
品川区,二葉１丁目,-,東京都品川区二葉1-4-27,35.608449,139.72671,ローソン 二葉店,,,,,,,
品川区,大崎３丁目,-,東京都品川区大崎3丁目6ー6,35.620499,139.72687,ファミリーマート トキワ大崎店,,,,,,,
品川区,大崎２丁目,-,東京都品川区大崎2丁目9-2,35.616712,139.72703,セブンイレブン 大崎ウエストシティタワーズ店,,,,,,,
品川区,大崎１丁目,-,東京都品川区大崎1-2-2,35.622315,139.72717,ローソン アートヴィレッジ大崎店,,,,,,,
品川区,大崎３丁目,-,東京都品川区大崎3丁目6番17号ニュー大崎ビル,35.619511,139.72725,ファミリーマート 大崎駅西口店,,,,,,,
品川区,大崎２丁目,-,東京都品川区大崎2丁目1-1,35.618359,139.72751,ファミリーマート ファミマThinkpark店,,,,,,,
品川区,大崎２丁目,-,東京都品川区大崎2丁目9-1,35.616709,139.72777,セブンイレブン 大崎百反通り店,,,,,,,
品川区,大井５丁目,-,東京都品川区大井5-2-11,35.600192,139.72814,セブンイレブン 大井店,,,,,,,
品川区,大崎１丁目,-,東京都品川区大崎1丁目21-4,35.620160,139.72824,ニューデイズ大崎北口,,,,,,,
品川区,大崎１丁目,-,東京都品川区大崎1丁目21-4,35.620160,139.72824,ニューデイズ大崎南口,,,,,,,
品川区,大崎１丁目,-,東京都品川区大崎1丁目21-4,35.620160,139.72824,ニューデイズ大崎,,,,,,,
品川区,大崎１丁目,-,東京都品川区大崎1-5-1,35.621330,139.72841,ナチュラルローソン NL大崎センタービル店,,,,,,,
品川区,西品川２丁目,-,東京都品川区西品川2-4-7,35.613860,139.72845,セブンイレブン 西品川2丁目店,,,,,,,
品川区,東五反田４丁目,-,東京都品川区東五反田4丁目5-9,35.630860,139.72879,ファミリーマート 東五反田四丁目店,,,,,,,
