指標名,食べログアワード受賞レストラン,,,,,,,,,,,,,
出典,The Tabelog Award 2021,,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,,
備考,（2020年：275件、2021年度：208件）,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,施設名（EN）,ジャンル,アワード,初選出,星数,夜予算,昼予算,URL
新宿区,納戸町,-,東京都新宿区納戸町22,35.69805,139.73240,ル・マンジュ・トゥー, Le Mange-Tout, フレンチ / 東京,BRONZE,-,4.02,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1309/A130905/13000469/
新宿区,東五軒町,-,東京都新宿区東五軒町5-5,35.70636,139.73974,紀茂登, Kimoto, 日本料理 / 東京,SILVER,-,4.45,"\50,000～\59,999",-,https://tabelog.com/tokyo/A1309/A130905/13226856/
新宿区,神楽坂５丁目,-,東京都新宿区神楽坂5-37 高村ビル　１Ｆ,35.70125,139.73941,神楽坂 石かわ, Ishikawa, 日本料理 / 東京,SILVER,-,4.38,"\30,000～\39,999","\30,000～\39,999",https://tabelog.com/tokyo/A1309/A130905/13004079/
新宿区,神楽坂３丁目,-,東京都新宿区神楽坂3-6 神楽坂三丁目テラスB1,35.70097,139.74015,神楽坂　鉄板焼 中むら, NAKAMURA, ステーキ・鉄板焼き / 東京,BRONZE,-,4.1,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1309/A130905/13134663/
新宿区,神楽坂３丁目,-,東京都新宿区神楽坂3-4,35.70075,139.74098,虎白, Kohaku, 日本料理 / 東京,SILVER,-,4.38,"\30,000～\39,999","\30,000～\39,999",https://tabelog.com/tokyo/A1309/A130905/13049130/
新宿区,新宿５丁目,-,東京都新宿区新宿5-1-13 ＭＯＡビル 1F,35.69275,139.71239,ヴィンチェロ, Vincero, イタリアン / 東京,BRONZE,-,3.99,"\15,000～\19,999",-,https://tabelog.com/tokyo/A1304/A130402/13004299/
新宿区,住吉町,-,東京都新宿区住吉町2-18 ウィン四谷 1F,35.69207,139.72154,まる富, Marutomi, 日本料理 / 東京,BRONZE,-,3.94,"\15,000～\19,999","\15,000～\19,999",https://tabelog.com/tokyo/A1309/A130903/13158579/
新宿区,四谷４丁目,-,東京都新宿区四谷4-8 ライオンズ四谷タワーゲート店舗棟 B1F,35.68802,139.71664,はらまさ, Haramasa, 日本料理 / 東京,BRONZE,-,4.16,"\20,000～\29,999","\10,000～\14,999",https://tabelog.com/tokyo/A1309/A130903/13151542/
新宿区,四谷１丁目,-,東京都新宿区四谷1-9-4,35.68600,139.72807,くすのき, Kusunoki, 天ぷら / 東京,SILVER,-,4.46,"\60,000～\79,999","\30,000～\39,999",https://tabelog.com/tokyo/A1309/A130902/13223239/
新宿区,四谷１丁目,-,東京都新宿区四谷1-22-1,35.68760,139.72752,三谷, Mitani, 寿司 / 東京,GOLD,-,4.49,"\40,000～\49,999","\30,000～\39,999",https://tabelog.com/tokyo/A1309/A130902/13042204/
新宿区,四谷１丁目,-,東京都新宿区四谷1-11 陽臨堂ビル　１Ｆ,35.68557,139.72831,すし匠, Sushisho, 寿司 / 東京,SILVER,-,4.35,"\30,000～\39,999","\2,000～\2,999",https://tabelog.com/tokyo/A1309/A130902/13000852/
新宿区,四谷三栄町,-,東京都新宿区三栄町7 ＪＨＣビル 1F,35.68786,139.72700,北島亭, Kitajimatei, フレンチ / 東京,BRONZE,-,3.98,"\20,000～\29,999","\15,000～\19,999",https://tabelog.com/tokyo/A1309/A130902/13000945/
新宿区,荒木町,-,東京都新宿区荒木町7-13 森戸ビル 1Ｆ,35.68908,139.72225,オオクサ, OHKUSA, 焼鳥・鳥料理 / 東京,BRONZE,-,4.23,"\6,000～\7,999",-,https://tabelog.com/tokyo/A1309/A130903/13240980/
新宿区,荒木町,-,東京都新宿区荒木町3-21 宮内ビル 2F,35.68860,139.72298,多仁本, Tanimoto, 日本料理 / 東京,BRONZE,-,4.11,"\20,000～\29,999","\20,000～\29,999",https://tabelog.com/tokyo/A1309/A130903/13207060/
新宿区,荒木町,-,東京都新宿区荒木町10-17 101,35.69026,139.72236,青華こばやし, Seika Kobayashi, 日本料理 / 東京,BRONZE,-,3.9,"\30,000～\39,999","\20,000～\29,999",https://tabelog.com/tokyo/A1309/A130903/13193077/
渋谷区,代官山町,-,東京都中央区銀座2-6-5 GINZA TRECIOUS 12F,35.65069,139.70356,アロマフレスカ, Ristorante Ara-fr鑚ca, イタリアン / 東京,BRONZE,-,3.99,"\15,000～\19,999",-,https://tabelog.com/tokyo/A1301/A130101/13129298/
渋谷区,代々木４丁目,-,東京都中央区銀座1-6-6,35.67838,139.69273,焼肉 うしごろ 銀座店, Ushigoro Ginza, 焼肉・すき焼き・しゃぶしゃぶ / 東京,BRONZE,-,4.12,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1301/A130101/13167325/
渋谷区,鉢山町,-,東京都渋谷区鉢山町14-7,35.65082,139.69715,マダム・トキ, Madame Toki, フレンチ / 東京,BRONZE,-,4.01,"\15,000～\19,999","\6,000～\7,999",https://tabelog.com/tokyo/A1303/A130303/13001707/
渋谷区,代々木４丁目,-,東京都渋谷区代々木4-22-17 クイーンズ代々木 1F,35.68128,139.69127,ボニュ, Bon.nu, フレンチ / 東京,SILVER,-,4.43,"\30,000～\39,999","\30,000～\39,999",https://tabelog.com/tokyo/A1304/A130401/13184186/
渋谷区,代々木４丁目,-,東京都渋谷区代々木4-10-7,35.67838,139.69273,焼肉 いぶさな, Ibusana, 焼肉・すき焼き・しゃぶしゃぶ / 東京,BRONZE,-,4.12,"\20,000～\29,999",-,https://tabelog.com/tokyo/A1318/A131810/13221220/
渋谷区,代々木２丁目,-,東京都渋谷区代々木2-6-5,35.68793,139.69890,鳥茂, Torishige, 居酒屋 / 東京,BRONZE,-,4.07,"\8,000～\9,999",-,https://tabelog.com/tokyo/A1304/A130401/13001067/
渋谷区,代官山町,-,東京都渋谷区代官山町12-16 シンフォニー代官山 102,35.65069,139.70356,ARMONICO, ARMONICO, イタリアン / 東京,BRONZE,-,3.99,"\15,000～\19,999",-,https://tabelog.com/tokyo/A1303/A130303/13156479/
