指標名,バス停,,,,,注：NAVITIMEの検索区分ではなく、緯度経度情報をもとに位置情報を掲載。,,,,,,,,
出典,NAVITIME,,,,,例：『東京駅〔八重洲南口〕』は中央区の一覧に掲載されているが、バス停の位置は千代田区。,,,,,,,,
年次,2021/2/2取得,,,,,　　『角筈二丁目バス停』は新宿区の一覧に掲載されているが、バス停の位置は渋谷区。,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,　　『駒場リサーチキャンパス』は渋谷区駒場４丁目と掲載されているが誤りで、目黒区。,,,,,,,,
備考,路線ごとに1データあるので、単純な駅数が知りたい場合は「1÷路線数」を合計,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,路線数,1÷路線数,事業者,路線名,方面①,方面①/URL,方面②,方面②/URL
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-静岡/ミッドナイトふじ号,[高速バス],富士駅〔南口〕方面,https://www.navitime.co.jp/diagram/bus/00025521/00020371/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-茨城/東京-常陸太田,[高速バス],常陸太田市高速バスターミナル方面,https://www.navitime.co.jp/diagram/bus/00025521/00020373/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-茨城/東京-常陸大宮・常陸大子,[高速バス],茨城交通大子営業所方面,https://www.navitime.co.jp/diagram/bus/00025521/00020374/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-栃木/日光・東京線,[高速バス],鬼怒川温泉駅方面,https://www.navitime.co.jp/diagram/bus/00025521/00020387/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-秋田/エクスプレス鳥海号,[高速バス],羽後本荘駅前方面,https://www.navitime.co.jp/diagram/bus/00025521/00020392/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,ミッドナイトアロー春日部,[東武バス],春日部駅西口方面,https://www.navitime.co.jp/diagram/bus/00025521/00021693/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,深夜急行〔大船行き〕,[神奈川中央交通],横浜駅西口/大船駅東口〔笠間口〕方面,https://www.navitime.co.jp/diagram/bus/00025521/00031691/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,深夜急行〔平塚行き〕,[神奈川中央交通],藤沢駅北口/平塚駅北口方面,https://www.navitime.co.jp/diagram/bus/00025521/00031692/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,深夜急行〔本厚木行き〕,[神奈川中央交通],町田バスセンター/本厚木駅方面,https://www.navitime.co.jp/diagram/bus/00025521/00031693/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-新潟/関東→新潟〔昼行便〕,[ウィラー(高速バス)],長岡駅大手口〔東坂之上〕/新潟駅南口方面,https://www.navitime.co.jp/diagram/bus/00025521/00040564/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-上高地/さわやか信州号,[高速バス],上高地バスターミナル方面,https://www.navitime.co.jp/diagram/bus/00025521/00053372/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京・大網線,[千葉中央バス],大網駅方面,https://www.navitime.co.jp/diagram/bus/00025521/00054825/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-八日市場・匝瑳,[高速バス],航空科学博物館/匝瑳市役所〔千葉交通〕方面,https://www.navitime.co.jp/diagram/bus/00025521/00055338/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,茨城空港-東京駅線,[関東鉄道],茨城空港（バス）方面,https://www.navitime.co.jp/diagram/bus/00025521/00076853/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,仙台線〔成田空港・TDR-仙台駅〕,[成田空港交通],仙台駅東口方面,https://www.navitime.co.jp/diagram/bus/00025521/00081132/0/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.683366,139.769057,東京駅〔日本橋口〕,1,1.00 ,,,,,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目８－２　,35.682634,139.770024,東京駅八重洲北口〔鉄鋼ビル〕,4,0.25 ,東京-山梨/東京駅-富士急ＨＬ・河口湖・山中湖,[高速バス],富士急ハイランド〔第１ゲート側〕/河口湖駅方面,https://www.navitime.co.jp/diagram/bus/00062655/00008964/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目８－２　,35.682634,139.770024,東京駅八重洲北口〔鉄鋼ビル〕,4,0.25 ,２３区内エリア-成田空港(東京駅・日本橋),[空港連絡バス],成田空港第１ターミナル北ウィング方面,https://www.navitime.co.jp/diagram/bus/00062655/00017984/0/,,
