指標名,薬局,,,,,,
出典,病院なび,,,,,,
年次,2021/2/15取得,,,,,,
URL,https://byoinnavi.jp/,,,,,,
備考,"（2019年度：889件、2020年度：1,315件）",,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
品川区,荏原３丁目,-,"東京都品川区荏原3-5-15

",35.616746,139.708242,サンドラッグ 武蔵小山店,https://byoinnavi.jp/pharm/206353
品川区,荏原４丁目,-,"東京都品川区荏原4-6-16

",35.614435,139.706876,つばさ薬局,https://byoinnavi.jp/pharm/206356
品川区,荏原７丁目,-,"東京都品川区荏原7-11-14

",35.610968,139.701404,康樹堂薬局旗ノ台店,https://byoinnavi.jp/pharm/206357
千代田区,永田町２丁目,赤坂,"東京都千代田区永田町2-11-1

",35.673050,139.740722,有限会社 フジモト薬局,https://byoinnavi.jp/pharm/262699
千代田区,永田町２丁目,赤坂,"東京都千代田区永田町2-14-2

",35.676446,139.738219,エフエル薬局,https://byoinnavi.jp/pharm/202905
千代田区,永田町２丁目,赤坂,"東京都千代田区永田町2-11-1

",35.673050,139.740722,(株)多羅薬品 山王パークタワー店,https://byoinnavi.jp/pharm/202904
江東区,越中島２丁目,-,"東京都江東区越中島2-14-11

",35.666370,139.794979,(有)ベル・グリーン,https://byoinnavi.jp/pharm/204295
渋谷区,円山町,-,"東京都渋谷区円山町26-8

",35.655982,139.693952,ドラッグヨシダ,https://byoinnavi.jp/pharm/201263
渋谷区,猿楽町,-,"東京都渋谷区猿楽町29-9

",35.648175,139.700029,漢方蘭山,https://byoinnavi.jp/pharm/201183
渋谷区,猿楽町,-,"東京都渋谷区猿楽町24-7

",35.648211,139.701631,レジーナ薬局代官山店,https://byoinnavi.jp/pharm/201182
江東区,猿江１丁目,-,"東京都江東区猿江1-18-18

",35.686572,139.811209,クスリのナカモト,https://byoinnavi.jp/pharm/204189
江東区,猿江２丁目,-,"東京都江東区猿江2-5-4

",35.686498,139.814148,サルエ薬局,https://byoinnavi.jp/pharm/204190
江東区,塩浜１丁目,-,"東京都江東区塩浜1-4-3

",35.661913,139.802424,汐浜薬局,https://byoinnavi.jp/pharm/204224
江東区,塩浜２丁目,-,"東京都江東区塩浜2-5-23 汐浜サンハイツ1F

",35.661561,139.805934,杏林堂薬局 深川店,https://byoinnavi.jp/pharm/263831
江東区,塩浜２丁目,-,"東京都江東区塩浜2-5-23

",35.661561,139.805934,杏林堂薬局深川店,https://byoinnavi.jp/pharm/204225
江東区,牡丹３丁目,-,"東京都江東区牡丹3-7-4

",35.668812,139.798270,(有)牡丹薬局,https://byoinnavi.jp/pharm/204223
新宿区,下宮比町,-,"東京都新宿区下宮比町3-2

",35.703141,139.743295,さくら薬局飯田橋駅前店,https://byoinnavi.jp/pharm/205624
新宿区,下宮比町,-,"東京都新宿区下宮比町3-1

",35.702984,139.743297,わかば薬局飯田橋,https://byoinnavi.jp/pharm/205623
新宿区,下落合１丁目,-,"東京都新宿区下落合1-7-16

",35.715454,139.701298,オリーブ薬局,https://byoinnavi.jp/pharm/205613
新宿区,下落合１丁目,-,"東京都新宿区下落合1-16-3

",35.715982,139.694680,落合薬店,https://byoinnavi.jp/pharm/205612
新宿区,下落合３丁目,-,"東京都新宿区下落合3-21-1

",35.722666,139.701790,富士薬局,https://byoinnavi.jp/pharm/205617
新宿区,下落合３丁目,-,"東京都新宿区下落合3-22-16瀧島ビル

",35.722544,139.700050,矢野薬局,https://byoinnavi.jp/pharm/205618
新宿区,下落合３丁目,-,"東京都新宿区下落合3-17-31

",35.722393,139.703749,目白薬局,https://byoinnavi.jp/pharm/205616
新宿区,下落合３丁目,-,"東京都新宿区下落合3-16-11

",35.722427,139.702534,(株)ドラッグ・オゾン 目白店,https://byoinnavi.jp/pharm/205615
新宿区,下落合３丁目,-,"東京都新宿区下落合3-12-28

",35.721910,139.699414,(株)一本堂 目白店,https://byoinnavi.jp/pharm/205614
新宿区,下落合４丁目,-,"東京都新宿区下落合4-6-14

",35.719629,139.694888,グラム薬局下落合店,https://byoinnavi.jp/pharm/205621
新宿区,下落合４丁目,-,"東京都新宿区下落合4-26-7

",35.722097,139.695938,どらっぐぱぱす 目白店,https://byoinnavi.jp/pharm/205620
新宿区,下落合４丁目,-,"東京都新宿区下落合4-26-10

",35.722067,139.695494,さくら薬局目白店,https://byoinnavi.jp/pharm/205619
新宿区,歌舞伎町１丁目,-,"東京都新宿区歌舞伎町1-7-5

",35.694500,139.702917,みすず,https://byoinnavi.jp/pharm/205650
新宿区,歌舞伎町２丁目,-,"東京都新宿区歌舞伎町2-45-6

",35.696803,139.700642,薬王堂,https://byoinnavi.jp/pharm/205654
新宿区,歌舞伎町２丁目,-,"東京都新宿区歌舞伎町2-44-1

",35.696697,139.701143,健康プラザ薬局,https://byoinnavi.jp/pharm/205653
新宿区,歌舞伎町２丁目,-,"東京都新宿区歌舞伎町2-23-1

",35.695228,139.704157,テン・ドラッグ,https://byoinnavi.jp/pharm/205652
新宿区,歌舞伎町２丁目,-,"東京都新宿区歌舞伎町2-2-21

",35.695668,139.706510,(株)サン薬品,https://byoinnavi.jp/pharm/205651
新宿区,河田町,-,"東京都新宿区河田町3-10

",35.696049,139.719767,日生薬局河田町店,https://byoinnavi.jp/pharm/205773
新宿区,河田町,-,"東京都新宿区河田町11-8

",35.699118,139.718334,日生薬局若松河田駅前店,https://byoinnavi.jp/pharm/205772
新宿区,河田町,-,"東京都新宿区河田町11-7

",35.699063,139.718170,カワダ薬局,https://byoinnavi.jp/pharm/205771
新宿区,河田町,-,"東京都新宿区河田町11-11

",35.699029,139.718549,ミキ薬局河田町店,https://byoinnavi.jp/pharm/205770
千代田区,霞が関１丁目,虎ノ門広域,"東京都千代田区霞が関1-4-1

",35.670872,139.750452,霞が関ファーマシー,https://byoinnavi.jp/pharm/202898
千代田区,霞が関１丁目,虎ノ門広域,"東京都千代田区霞が関1-2-2

",35.673245,139.753051,くすりアロー厚生労働省内店,https://byoinnavi.jp/pharm/202897
千代田区,霞が関３丁目,虎ノ門広域,"東京都千代田区霞が関3-2-5

",35.671309,139.747178,かちどき薬局霞が関店,https://byoinnavi.jp/pharm/202899
港区,海岸１丁目,-,"東京都港区海岸1-2-20

",35.656851,139.759400,(株)ソーレ,https://byoinnavi.jp/pharm/202577
千代田区,外神田１丁目,-,"東京都千代田区外神田1-4-13

",35.698535,139.770981,マツモトキヨシ秋葉原店,https://byoinnavi.jp/pharm/202892
千代田区,外神田１丁目,-,"東京都千代田区外神田1-2-14

",35.698126,139.770603,(株)紀伊国屋漢薬局,https://byoinnavi.jp/pharm/202891
千代田区,外神田２丁目,-,"東京都千代田区外神田2-5-14

",35.699979,139.768958,沢田宝仙堂,https://byoinnavi.jp/pharm/202893
千代田区,外神田４丁目,-,"東京都千代田区外神田4-14-1

",35.700325,139.772566,ファルマルシェ薬局秋葉原店,https://byoinnavi.jp/pharm/202894
千代田区,外神田６丁目,-,"東京都千代田区外神田6-16-7

",35.704993,139.771725,伊藤黒焼総本舗,https://byoinnavi.jp/pharm/202896
千代田区,外神田６丁目,-,"東京都千代田区外神田6-13-14

",35.703154,139.770418,江川薬局,https://byoinnavi.jp/pharm/202895
千代田区,丸の内１丁目,大丸有,"東京都千代田区丸の内1-9-1

",35.681730,139.766185,コクミン薬店東京駅名店街店,https://byoinnavi.jp/pharm/202901
千代田区,丸の内１丁目,大丸有,"東京都千代田区丸の内1-6-2

",35.684122,139.766415,丸の内ファーマシー,https://byoinnavi.jp/pharm/202900
千代田区,丸の内２丁目,大丸有,"東京都千代田区丸の内2-4-1

",35.680976,139.763784,アメリカンファーマシー 丸の内店,https://byoinnavi.jp/pharm/202903
千代田区,丸の内２丁目,大丸有,"東京都千代田区丸の内2-2-3

",35.680232,139.762595,(株)ソレイユ,https://byoinnavi.jp/pharm/202902
千代田区,岩本町３丁目,-,"東京都千代田区岩本町3-4-1

",35.694968,139.776990,龍閑堂薬局,https://byoinnavi.jp/pharm/202996
新宿区,喜久井町,-,"東京都新宿区喜久井町46-4

",35.704813,139.720494,(株)松翔,https://byoinnavi.jp/pharm/205737
品川区,旗の台１丁目,-,"東京都品川区旗の台一丁目6番16号

",35.609168,139.703987,天龍薬局,https://byoinnavi.jp/pharm/206458
品川区,旗の台１丁目,-,"東京都品川区旗の台1丁目3番22号

",35.607865,139.704292,天龍調剤薬局,https://byoinnavi.jp/pharm/206454
品川区,旗の台１丁目,-,"東京都品川区旗の台1-3-17

",35.608573,139.704290,かもめ薬局旗の台店,https://byoinnavi.jp/pharm/252936
品川区,旗の台１丁目,-,"東京都品川区旗の台1-3-9

",35.608780,139.704285,アイセイ薬局旗の台店,https://byoinnavi.jp/pharm/206457
品川区,旗の台１丁目,-,"東京都品川区旗の台1-3-8

",35.608957,139.704235,いずみ薬局,https://byoinnavi.jp/pharm/206456
品川区,旗の台１丁目,-,"東京都品川区旗の台1-3-6

",35.608696,139.704269,こすもす薬局,https://byoinnavi.jp/pharm/206455
品川区,旗の台１丁目,-,"東京都品川区旗の台1-3-17

",35.608573,139.704290,さくら薬局旗の台店,https://byoinnavi.jp/pharm/206453
品川区,旗の台１丁目,-,"東京都品川区旗の台1-3-1

",35.608019,139.704315,日本調剤旗の台薬局,https://byoinnavi.jp/pharm/206452
品川区,旗の台２丁目,-,"東京都品川区旗の台2-9-19

",35.605900,139.703503,中島薬局,https://byoinnavi.jp/pharm/206462
品川区,旗の台２丁目,-,"東京都品川区旗の台2丁目1番1号

",35.608819,139.705032,天龍薬局 旗の台店,https://byoinnavi.jp/pharm/206459
品川区,旗の台２丁目,-,"東京都品川区旗の台2-13-16

",35.605627,139.703690,(有)ほしも,https://byoinnavi.jp/pharm/206461
品川区,旗の台２丁目,-,"東京都品川区旗の台2-1-18

",35.607032,139.704167,黎明薬局旗の台店,https://byoinnavi.jp/pharm/206460
品川区,旗の台４丁目,-,"東京都品川区旗の台4-3-6-1F

",35.603936,139.706021,荏原町調剤薬局,https://byoinnavi.jp/pharm/275702
品川区,旗の台４丁目,-,"東京都品川区旗の台4-7-4

",35.603941,139.704446,いこいの薬局旗の台店,https://byoinnavi.jp/pharm/272198
品川区,旗の台４丁目,-,"東京都品川区旗の台4-3-7

",35.603899,139.705806,高山薬局,https://byoinnavi.jp/pharm/206464
