指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2021/3/2取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間・備考
新宿区,西新宿５丁目,-,東京都新宿区西新宿5-13,35.693389,139.686112,D6-20.淀橋けやきばし公園 / Yodobashi Keyakibashi Park,-,営業時間 24時間 / Open for 24 hours
新宿区,新宿５丁目,-,東京都新宿区新宿5-3,35.692377,139.711242,D6-21.新宿5丁目 / Shinjuku 5-Chome,-,営業時間 24時間 / Open for 24 hours
新宿区,新宿３丁目,-,東京都新宿区新宿3-37先,35.689756,139.701508,D6-25.新宿駅東南口自転車駐輪場 / Shinjuku Station Southeast Exit Bicycle Parking lot,-,営業時間 24時間 / Open for 24 hours
新宿区,中落合１丁目,-,東京都新宿区中落合1-18,35.715546,139.687389,D7-03.中井駅北 / Nakai Station North,-,営業時間 24時間 / Open for 24 hours
江東区,豊洲５丁目,-,東京都江東区豊洲5-5,35.653241,139.796844,H1-02.豊洲駅 / Toyosu Station,-,営業時間 24時間 / Open for 24 hours
江東区,豊洲３丁目,-,東京都江東区豊洲3-1,35.659170,139.793008,H1-01.豊洲IHIビル前（晴海通り） / Toyosu IHI Building,-,営業時間 24時間 / Open for 24 hours
江東区,有明３丁目,-,東京都江東区有明3-6,35.631155,139.790451,H1-05.相鉄グランドフレッサ 東京ベイ有明 / SOTETSU GRAND FRESA TOKYO-BAY ARIAKE,-,営業時間 24時間 / Open for 24 hours
江東区,東雲２丁目,-,東京都江東区東雲2-8,35.641060,139.805155,H1-03.東雲駅 / Shinonome Station,-,営業時間 24時間 / Open for 24 hours
江東区,有明３丁目,-,東京都江東区有明3-3,35.631661,139.785977,H1-06.武蔵野大学 / Musashino University,-,営業時間 24時間 / Open for 24 hours
江東区,有明３丁目,-,東京都江東区有明3-7,35.632912,139.792689,H1-04.石と光の広場（国際展示場駅） / Ishito Hikarino Hiroba (Kokusai-tenjijo Station),-,営業時間 24時間 / Open for 24 hours
