指標名,スーパー,,,,,
出典,NAVITIME,,,,,
年次,2021/2/3取得,,,,,
URL,https://www.navitime.co.jp/,,,,,
備考,（2019年度：327件、2020年度：458件）,,,,,
,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名
千代田区,神田佐久間町３丁目,-,東京都千代田区神田佐久間町3-21-5 東神田ビル,35.698068,139.778838,まいばすけっと 神田佐久間町店
千代田区,外神田１丁目,-,東京都千代田区外神田1-17-6 アトレ秋葉原1 3F,35.698669,139.77283,成城石井 アトレ秋葉原1店
千代田区,富士見２丁目,-,東京都千代田区富士見2丁目10-2,35.698928,139.743809,成城石井飯田橋サクラテラス店
千代田区,神田和泉町,-,東京都千代田区神田和泉町2-13,35.699795,139.780178,ライフ 神田和泉町店
千代田区,外神田４丁目,-,東京都千代田区外神田4-14-1 秋葉原UDX1F,35.700325,139.772566,FUKUSHIMAYA TASTING MARKET@AKIHABARA(福島屋 秋葉原店)
千代田区,富士見２丁目,-,東京都千代田区富士見2-7-1 プラウドタワー1F,35.700625,139.74503,三徳飯田橋店
千代田区,外神田２丁目,-,東京都千代田区外神田2-14-10 第二電波ビル 1F,35.702448,139.76914,ピーコックストア 神田妻恋坂店
千代田区,外神田６丁目,-,東京都千代田区外神田6-7-3 成興ビル,35.704529,139.769991,肉のハナマサ 湯島店
新宿区,四谷３丁目,-,東京都新宿区四谷3-12,35.6876129,139.7192422,丸正総本店
新宿区,市谷船河原町,-,東京都新宿区市ヶ谷船河原町1 市ヶ谷エスワンビル,35.6972398,139.7396959,肉のハナマサ 市ヶ谷店
新宿区,馬場下町,-,東京都新宿区馬場下60,35.7061254,139.720919,三徳早稲田店
新宿区,若葉２丁目,-,東京都新宿区若葉2-12,35.6854582,139.7240108,丸正食品 若葉店
新宿区,天神町,-,東京都新宿区天神町14 神楽坂藤井ビル,35.7044768,139.7320501,まいばすけっと 神楽坂駅西店
新宿区,市谷甲良町,-,東京都新宿区市ヶ谷甲良町2-17,35.6992616,139.7283913,まいばすけっと 牛込柳町駅東店
新宿区,早稲田町,-,東京都新宿区早稲田町74,35.7057964,139.7228336,ヨークフーズ 早稲田店
新宿区,早稲田鶴巻町,-,東京都新宿区早稲田鶴巻町564 ハウゼタカスギ,35.7096517,139.7261857,まいばすけっと 早稲田鶴巻町店
新宿区,市谷薬王寺町,-,東京都新宿区市谷薬王寺町59 レジディア市谷薬王寺,35.6960477,139.7254274,まいばすけっと 市谷薬王寺町店
新宿区,山吹町,-,東京都新宿区山吹町333 江戸川橋アクセス,35.7076449,139.7281546,まいばすけっと 山吹町店
新宿区,西新宿３丁目,-,東京都新宿区西新宿3-13-11,35.685107,139.688005,maruetsu(マルエツ) プチ 西新宿三丁目店
新宿区,四谷２丁目,-,東京都新宿区四谷2-1-1,35.686396,139.726958,マルエツプチ 四谷二丁目店
新宿区,新宿３丁目,-,東京都新宿区新宿3-38-2 ルミネ新宿/ルミネ2・1F,35.689673,139.700621,KINOKUNIYA entree(キノクニヤ アントレ) コンコースショップ ルミネ新宿店
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-6-1 新宿住友ビル B1F,35.691213,139.692361,KITANO ACE(キタノ エース) 新宿住友ビル店
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-15-1,35.692179,139.688554,maruetsu(マルエツ) プチ 西新宿六丁目店
新宿区,市谷八幡町,-,東京都新宿区市谷八幡町2-1,35.69233,139.734889,maruetsu(マルエツ) 市ヶ谷見附店
新宿区,富久町,-,東京都新宿区富久町13-1,35.692382,139.714715,コープみらい ミニコープ富久店
新宿区,富久町,-,東京都新宿区富久町17-2,35.692391,139.713293,ヨークフーズ 新宿富久店
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-5-1 新宿西口ハルクB2F ハルクフード,35.692539,139.698629,こだわりや 新宿西口ハルク店
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-5-1 新宿西口ハルクB2F ハルクフード,35.692539,139.698629,明治屋 新宿西口ハルク店
新宿区,住吉町,-,東京都新宿区住吉町6-11,35.692828,139.721597,三徳住吉店
新宿区,新宿３丁目,-,東京都新宿区新宿3-22-12,35.693105,139.701817,三平ストア 新宿店
新宿区,新宿５丁目,-,東京都新宿区新宿5-11-22 中島ビル,35.693231,139.707858,まいばすけっと 新宿5丁目
新宿区,住吉町,-,東京都新宿区住吉町5-5 寿光ビル,35.693296,139.720927,まいばすけっと 曙橋駅前店
新宿区,新宿６丁目,-,東京都新宿区新宿6-27-29,35.695902,139.708295,maruetsu(マルエツ) 新宿六丁目店
新宿区,北新宿２丁目,-,東京都新宿区北新宿2-21-1 新宿フロントタワー 1F,35.696092,139.689394,もとまちUNION(ユニオン) 新宿店
新宿区,河田町,-,東京都新宿区河田町3-31,35.696156,139.721713,三徳?河田店
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-2-15 ヒルコート東新宿,35.696311,139.706813,まいばすけっと 東新宿駅南店
新宿区,余丁町,-,東京都新宿区余丁町6-15,35.696844,139.713298,業務スーパー 東新宿店
新宿区,余丁町,-,東京都新宿区余丁町6-15,35.696844,139.713298,丸正食品 東新宿店
新宿区,北新宿１丁目,-,東京都新宿区北新宿1-20-13 アーバネックス西新宿,35.697354,139.692438,まいばすけっと 北新宿税務署通り店
新宿区,北新宿２丁目,-,東京都新宿区北新宿2-2-24,35.697725,139.69051,まいばすけっと 北新宿2丁目店
新宿区,細工町,-,東京都新宿区細工町1-16 村田ビル 1F,35.698996,139.733407,食品スーパーマーケット三徳 牛込神楽坂店
新宿区,原町１丁目,-,東京都新宿区原町1-16-8,35.699185,139.725607,よしや 柳町店
新宿区,細工町,-,東京都新宿区細工町3-15 石黒ビル,35.699569,139.732901,まいばすけっと 牛込神楽坂駅西店
新宿区,若松町,-,東京都新宿区若松町28-5,35.699836,139.718849,ライフ若松河田駅前店
新宿区,百人町１丁目,-,東京都新宿区百人町1-11-1,35.699848,139.699533,mini(ミニ)ピアゴ 百人町1丁目店
新宿区,百人町１丁目,-,東京都新宿区百人町1-10-7 一番街ビル,35.700328,139.699939,まいばすけっと 新大久保駅南店
新宿区,新宿７丁目,-,東京都新宿区新宿7-26-38,35.700535,139.709007,Santoku(サントク) 新宿本店
新宿区,新宿７丁目,-,東京都新宿区新宿7-26-38,35.700535,139.709007,三徳 新宿本店
新宿区,箪笥町,-,東京都新宿区箪笥町11-1,35.700706,139.734699,キッチンコート 神楽坂店
新宿区,神楽河岸,-,東京都新宿区神楽河岸1-1 セントラルプラザ・ラムラ1F,35.700846,139.743553,三浦屋 飯田橋ラムラ店
新宿区,大久保１丁目,-,東京都新宿区大久保1-10-15 レックスマンション,35.700943,139.704499,肉のハナマサ 大久保店
新宿区,戸山２丁目,-,東京都新宿区戸山2-33-2,35.701198,139.709047,コープみらい コープ戸山店
新宿区,百人町２丁目,-,東京都新宿区百人町2-1-2,35.701546,139.702028,チョンガーネ
新宿区,大久保２丁目,-,東京都新宿区大久保2-6-10 新宿第2アルプスマンション,35.701775,139.707939,まいばすけっと 東新宿駅北店
新宿区,百人町２丁目,-,東京都新宿区百人町2-15-1,35.701902,139.698685,業務スーパー 新宿大久保店
新宿区,百人町２丁目,-,東京都新宿区百人町2-27-7 ハンドレットサーカス イーストタワー 1F,35.702367,139.695484,まいばすけっと 大久保店
新宿区,揚場町,-,東京都新宿区揚場町2-20 島田ビル,35.702629,139.74301,maruetsu(マルエツ) プチ 飯田橋店
新宿区,百人町２丁目,-,東京都新宿区百人町2-6-7 ライズ高踏園,35.703955,139.700171,まいばすけっと 百人町文化通り店
