指標名,スポーツ施設,,,,,,
出典,NAVITIME,,,,,,
年次,2021/2/3取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2019年度：430件、2020年度：423件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,種類
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-8-2 鉄鋼ビルディング南館5F,35.682304,139.769783,THE JEXER TOKYO Annex(ジェクサートウキョウアネックス),スポーツクラブ/フィットネスクラブ
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-5-1 新丸の内ビルディング(新丸ビル)B1F,35.682543,139.764287,MARUNOUCHI Bike&Run(マルノウチ バイクアンドラン),スポーツクラブ/フィットネスクラブ
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-6-1 Marunouchi BRICK SQUARE 4F,35.679028,139.763124,TIPNESS MARUNOUCHI STYLE(ティップネスマルノウチスタイル),スポーツクラブ/フィットネスクラブ
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-5-2 三菱ビル地下1F,35.679911,139.76361,ASICS RUN TOKYO MARUNOUCHI(アシックス ラン トウキョウマルノウチ),スポーツクラブ/フィットネスクラブ
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内3丁目1-1,35.67676,139.761109,Bodies running+丸の内,スポーツ施設/運動公園
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-9-2 大手町フィナンシャルシティ グランキューブ B1F,35.688781,139.764566,SPA大手町FITNESS CLUB,スポーツクラブ/フィットネスクラブ
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-2-2 日比谷シャンテ別館B1-B2階,35.673043,139.75994,メガロス日比谷シャンテ,スポーツクラブ/フィットネスクラブ
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-2,35.679993,139.737936,SPA & FITNESS KIOI(スパ アンド フィットネス キオイ),スポーツクラブ/フィットネスクラブ
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町7-1,35.683303,139.731746,上智大学真田堀運動場,スポーツ施設/運動公園
千代田区,麹町１丁目,-,東京都千代田区麹町1丁目7,35.6833587,139.7430054,JOGLIS,スポーツ施設/運動公園
千代田区,皇居外苑,-,東京都千代田区皇居外苑,35.6796282,139.7588189,パレスサイクリングコース,スポーツ施設/運動公園
千代田区,神田相生町,-,東京都千代田区神田相生町1 秋葉原センタープレイスビルB1,35.6992781,139.7739749,jump one Akihabara(ジャンプワン秋葉原),スポーツクラブ/フィットネスクラブ
千代田区,麹町４丁目,-,東京都千代田区麹町4-8 麹町クリスタルシティ 1F,35.6843368,139.7371992,エニタイムフィットネス 麹町店,スポーツクラブ/フィットネスクラブ
千代田区,麹町４丁目,-,東京都千代田区麹町4-1 志村ビル 3F,35.6836504,139.7378542,Magma spastudio insea 麹町店,スポーツクラブ/フィットネスクラブ
