指標名,ミシュラン掲載レストラン,,,,,,,,,,,,
出典,ミシュランガイド東京 2021,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,
URL,https://japanguide.michelin.co.jp/restaurant/tokyo/,,,,,,,,,,,,
備考,,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,店舗名,星数,カテゴリ,エリア,URL,価格帯,電話番号,その他
千代田区,外神田５丁目,-,東京都千代田区外神田 5-5-2,35.704010,139.77272,鳥つね 自然洞,ビブグルマン,鳥料理 ,秋葉原,-,"昼＝1,500-3,000円　夜＝2,500-8,000円",-,-
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内 1-1-1 パレスホテル 6F,35.684500,139.76122,エステール,★,フランス料理 ,丸の内,-,"昼＝10,000-21,000円　夜＝21,000-34,000円",要予約,-
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内 1-1-1 パレスホテル 5F,35.684500,139.76122,中国飯店 琥珀宮,★,中国料理 ,丸の内,-,"昼＝4,500-22,000円　夜＝16,000-44,000円",要予約,-
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町 1-13,35.680337,139.73596,紀尾井町 福田家,★★,日本料理 ,永田町,http://www.kioicho-fukudaya.jp/,"昼＝20,000-33,000円　夜＝27,000-53,000円",要予約,-
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町 1-3 紀尾井テラス 3F,35.679589,139.73696,赤坂 桃の木,★,中国料理 ,永田町,https://momonoki.tokyo/,"昼＝16,000-19,000円　夜＝19,000-37,000円",要予約,-
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町 4-1 ホテルニューオータニ ザ・メイン ロビー階,35.680910,139.73404,トゥールダルジャン,★,フランス料理 ,永田町,https://tourdargent.jp/,"昼＝11,000-27,000円　夜＝22,000-39,000円",要予約,-
千代田区,九段南４丁目,-,東京都千代田区九段南 4-1-10,35.691552,139.74103,シェ オリビエ,★,フランス料理 ,市ヶ谷,http://www.chezolivier.co.jp/,"昼＝5,500-13,000円　夜＝13,000-16,000円",要予約,-
千代田区,九段北１丁目,-,東京都千代田区九段北 １-9-12,35.697932,139.75083,錦福 香港美食,ビブグルマン,中国料理 ,九段下,-,"夜＝4,000-6,000円",要予約,-
千代田区,神田三崎町１丁目,-,東京都千代田区神田三崎町 1-1-14,35.700761,139.75680,桃の実 水道橋店,ビブグルマン,カレー ,水道橋,-,"昼＝1,500円以下　夜＝1,500-2,500円",-,-
千代田区,神田小川町３丁目,-,東京都千代田区神田小川町 3-10-1 駿台ビル 2F,35.695912,139.76124,ビストロべっぴん舎,ビブグルマン,カレー ,神保町,-,"昼＝1,500円以下　夜＝1,000-3,000円",要予約,-
