指標名,コワーキング施設,,,参考情報,「TOKYOテレワークアプリ」に掲載されているサテライトオフィス一覧も公開されている。,,
出典,コワーキングスペース検索,,,,https://catalog.data.metro.tokyo.lg.jp/dataset/t000012d0000000019/resource/26213e3e-9275-4208-b7e7-be71a6d35a60,,
年次,2021/1/15取得,,,,,,
URL,https://coworking-search.jp/zenkoku/,,,,,,
備考,より掲載数の多い出典に変更。,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-6-2 新丸の内センタービル 21階,35.6841764,139.766406,エグゼクティブセンター 新丸の内センタービル,https://coworking-search.jp/space/105/
千代田区,外神田６丁目,,東京都千代田区外神田6-14-1 日興ビル2F,35.703263,139.7713585,勉強カフェ 秋葉原スタジオ,https://coworking-search.jp/space/1578/
千代田区,外神田４丁目,,東京都千代田区外神田4-9-2 1F/2F,35.7021553,139.7724343,1/3rd Life（ワンサードライフ）注目物件,https://coworking-search.jp/space/2148/
千代田区,外神田１丁目,,東京都千代田区外神田1-1-10,35.6977571,139.7703742,パセラリゾーツAKIBAマルチエンターテインメント,https://coworking-search.jp/space/2262/
千代田区,外神田１丁目,,東京都千代田区外神田1-16-10 ニュー秋葉原センター32号,35.6972783,139.7726745,プログラマー自習室&コワーキングスペース『ギークライブラリー』,https://coworking-search.jp/space/2251/
千代田区,外神田１丁目,,東京都千代田区外神田1丁目13-2 うすやビル 1F,35.6989887,139.771627,カラオケパセラ 秋葉原電気街店,https://coworking-search.jp/space/2238/
千代田区,霞が関１丁目,虎ノ門全域,東京都千代田区霞が関1-4-1 日土地ビル2階,35.6708063,139.7505941,SENQ 霞が関,https://coworking-search.jp/space/957/
千代田区,永田町２丁目,赤坂,東京都千代田区永田町2-13-1 オカムラ赤坂ビル 9F,35.6748119,139.7387179,NewWork 赤坂見附,https://coworking-search.jp/space/2157/
千代田区,永田町２丁目,赤坂,東京都千代田区永田町2-11-1 山王パークタワー 3階,35.6731479,139.7406938,エグゼクティブセンター 山王パークタワー,https://coworking-search.jp/space/158/
千代田区,一番町,,東京都千代田区一番町10-8 一番町ウェストビル5階,35.686839,139.740021,パズル一番町,https://coworking-search.jp/space/452/
千代田区,一番町,,東京都千代田区一番町6 相模屋本社ビル7F,35.6875891,139.741854,一番町インキュベーションセンター,https://coworking-search.jp/space/1527/
中央区,八丁堀４丁目,,東京都中央区八丁堀4−9−4,35.6743345,139.7774303,FROM ONE SPORTS BASE,https://coworking-search.jp/space/1781/
中央区,八丁堀１丁目,,東京都中央区八丁堀1-9-8 八重洲通ハタビル 5・6階,35.6773777,139.7770653,アットビジネスセンター東京駅八重洲通り,https://coworking-search.jp/space/2223/
中央区,八重洲２丁目,日八京,東京都中央区八重洲2-4-1 ユニゾ八重洲ビル5階,35.6784086,139.7684826,NewWork 東京八重洲,https://coworking-search.jp/space/1368/
