指標名,駅,,,,,,,,,,
出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,
年次,2020/3/11取得,,,,,,,,,,
URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,
備考,新幹線駅除く。乗降客数は基本的に1事業者1駅1データ。,,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,乗降客数,駅コード（路線別）,駅コード（路線不問）
新宿区,新宿３丁目,-,東京都新宿区新宿３-８-４,35.690616,139.706271,新宿三丁目,都営新宿線,東京都交通局,"73,148",9930402,2800217
新宿区,新宿１丁目,-,東京都新宿区新宿１-６-１４,35.688588,139.71069,新宿御苑前,東京メトロ丸ノ内線,東京メトロ,"52,630",2800216,2800216
港区,新橋２丁目,虎ノ門広域,東京都港区新橋２-１７-５,35.667434,139.758432,新橋,東京メトロ銀座線,東京メトロ,"252,793",2800112,1130102
港区,新橋２丁目,虎ノ門広域,東京都港区新橋２-２１-１,35.665577,139.759451,新橋,都営浅草線,東京都交通局,"98,317",9930210,1130102
港区,新橋２丁目,虎ノ門広域,東京都港区新橋２-１７-９,35.666195,139.758587,新橋,JR東海道本線(東京～熱海),JR東日本,"542,056",1130102,1130102
港区,新橋２丁目,虎ノ門広域,東京都港区新橋２-１７-９,35.666195,139.758587,新橋,JR山手線,JR東日本,-,1130226,1130102
港区,新橋２丁目,虎ノ門広域,東京都港区新橋２-１７-９,35.666195,139.758587,新橋,JR横須賀線,JR東日本,-,1130802,1130102
港区,新橋２丁目,虎ノ門広域,東京都港区新橋２-１７-９,35.666195,139.758587,新橋,JR京浜東北線,JR東日本,-,1133224,1130102
新宿区,上落合２丁目,-,東京都新宿区上落合２-２２-１８,35.714035,139.686356,中井,都営大江戸線,東京都交通局,"25,482",9930132,2200704
渋谷区,上原１丁目,-,東京都渋谷区上原１-３２-１８,35.669159,139.680153,代々木上原,小田急小田原線,小田急電鉄,"262,708",2500105,2500105
渋谷区,上原１丁目,-,東京都渋谷区上原１-３２-１８,35.669159,139.680153,代々木上原,東京メトロ千代田線,東京メトロ,-,2800520,2500105
中央区,勝どき３丁目,-,東京都中央区勝どき３-５-４,35.658507,139.776442,勝どき,都営大江戸線,東京都交通局,"102,315",9930118,9930118
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷２-２１-１３,35.659545,139.702417,渋谷,東急東横線,東急電鉄,"1,163,469",2600101,1130205
