指標名,バス停,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2020/3/10取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,路線ごとに1データあるので、単純な駅数が知りたい場合は「1÷路線数」を合計,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,路線数,1÷路線数,事業者,路線名,方面①,方面②,およそ住所
中央区,明石町,-,東京都中央区明石町８-１,35.666943,139.777919,聖路加病院前,1,1.00 ,都営バス,東１５,東京駅八重洲口方面,深川車庫前方面,東京都中央区明石町
中央区,明石町,-,東京都中央区明石町４-５,35.668703,139.778653,明石町(東京都),2,0.50 ,江戸バス(中央区),南循環〔中央区役所→勝どき駅〕,月島区民センター/勝どき駅方面,,東京都中央区明石町
中央区,明石町,-,東京都中央区明石町４-５,35.668703,139.778653,明石町(東京都),2,0.50 ,都営バス,東１５,東京駅八重洲口方面,深川車庫前方面,東京都中央区明石町
中央区,湊２丁目,-,東京都中央区湊２-１２-１５,35.670718,139.779311,湊三丁目(東京都),2,0.50 ,江戸バス(中央区),南循環〔中央区役所→勝どき駅〕,月島区民センター/勝どき駅方面,,東京都中央区湊
中央区,湊２丁目,-,東京都中央区湊２-１２-１５,35.670718,139.779311,湊三丁目(東京都),2,0.50 ,都営バス,東１５,東京駅八重洲口方面,深川車庫前方面,東京都中央区湊
中央区,湊１丁目,-,東京都中央区湊１-１１-１０,35.672228,139.780112,鉄砲洲,2,0.50 ,江戸バス(中央区),南循環〔中央区役所→勝どき駅〕,月島区民センター/勝どき駅方面,,東京都中央区湊
中央区,湊１丁目,-,東京都中央区湊１-１１-１０,35.672228,139.780112,鉄砲洲,2,0.50 ,都営バス,東１５,東京駅八重洲口方面,深川車庫前方面,東京都中央区湊
港区,麻布台３丁目,-,東京都港区麻布台３-３-１９,35.660653,139.737529,飯倉片町,3,0.33 ,ちぃばす,麻布東ルート,六本木けやき坂方面,港区役所（東京都）方面,東京都港区麻布台
港区,麻布台３丁目,-,東京都港区麻布台３-３-１９,35.660653,139.737529,飯倉片町,3,0.33 ,ちぃばす,麻布西ルート,広尾駅（東京都）方面,,東京都港区麻布台
港区,麻布台３丁目,-,東京都港区麻布台３-３-１９,35.660653,139.737529,飯倉片町,3,0.33 ,都営バス,反９６,六本木ヒルズ方面,五反田駅方面,東京都港区麻布台
港区,麻布台３丁目,-,東京都港区麻布台３-５-５,35.660304,139.740141,麻布台,1,1.00 ,都営バス,渋８８,新橋駅前方面,渋谷駅前方面,東京都港区麻布台
港区,麻布十番４丁目,-,東京都港区麻布十番４-３-１,35.654428,139.736974,麻布十番駅前,6,0.17 ,ちぃばす,田町ルート,六本木ヒルズ方面,,東京都港区麻布十番
港区,麻布十番４丁目,-,東京都港区麻布十番４-３-１,35.654428,139.736974,麻布十番駅前,6,0.17 ,ちぃばす,麻布西ルート,広尾駅（東京都）方面,六本木けやき坂方面,東京都港区麻布十番
港区,麻布十番４丁目,-,東京都港区麻布十番４-３-１,35.654428,139.736974,麻布十番駅前,6,0.17 ,都営バス,反９４,赤羽橋駅前方面,五反田駅方面,東京都港区麻布十番
港区,麻布十番４丁目,-,東京都港区麻布十番４-３-１,35.654428,139.736974,麻布十番駅前,6,0.17 ,都営バス,反９６,六本木ヒルズ方面,五反田駅方面,東京都港区麻布十番
