指標名,スーパー,,,,,
出典,NAVITIME,,,,,
年次,2020/2/26取得,,,,,
URL,https://www.navitime.co.jp/,,,,,
備考,,,,,,
,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名
渋谷区,芝浦１丁目,-,東京都渋谷区渋谷1-23-21 渋谷キャスト,35.649558,139.7565405,東急ストア フードステーション渋谷キャスト店
港区,芝浦１丁目,-,東京都港区南青山7-3-1,35.650566,139.756023,東食品株式会社
中央区,芝浦１丁目,-,東京都中央区勝どき3-5-5,35.650926,139.757346,東武ストア 勝どき店
中央区,芝浦１丁目,-,東京都中央区銀座8-10 銀座ナイン3号館,35.646246,139.753179,肉のハナマサ 銀座店
新宿区,芝浦１丁目,-,東京都新宿区市ヶ谷船河原町1 市ヶ谷エスワンビル,35.649558,139.7565405,肉のハナマサ 市ヶ谷店
港区,芝浦１丁目,-,東京都港区芝浦3-15-9,35.64711,139.755348,肉のハナマサ 芝浦店
新宿区,芝浦２丁目,-,東京都新宿区新宿2-3-10 新宿御苑ビル1F,35.645265,139.754511,クック-Y 新宿店
中央区,芝浦２丁目,-,東京都中央区新川1-17-24 新川中央ビル,35.644878,139.752036,肉のハナマサ 新川店
中央区,芝浦２丁目,-,東京都中央区日本橋本町3-4-7 大三新日本橋ビル,35.644104,139.7533005,肉のハナマサ 新日本橋店
港区,芝浦３丁目,-,東京都港区虎ノ門4-1-17 神谷町プライムプレイス B1F,35.644968,139.7483595,maruetsu(マルエツ) プチ 城山ヒルズ店
千代田区,芝浦３丁目,-,東京都千代田区神田司町2-6,35.644968,139.7483595,maruetsu(マルエツ) プチ 神田司町店
千代田区,芝浦３丁目,-,東京都千代田区鍛冶町1-2-3,35.642799,139.749777,肉のハナマサ 神田店
港区,芝浦３丁目,-,東京都港区西新橋2-23-1 第3東洋海事ビル1F,35.64324,139.7490795,肉のハナマサ 西新橋店
港区,芝浦３丁目,-,東京都港区赤坂2-12-32 サンテラス赤坂,35.642844,139.7480895,肉のハナマサ 赤坂店
新宿区,芝浦３丁目,-,東京都新宿区大久保1-10-15 レックスマンション,35.642448,139.747077,肉のハナマサ 大久保店
千代田区,芝浦３丁目,-,東京都千代田区外神田6-7-3 成興ビル,35.641449,139.7491515,肉のハナマサ 湯島店
