指標名,幼稚園～高校,,,公立,https://www.kyoiku.metro.tokyo.lg.jp/administration/statistics_and_research/list_of_public_school/school_lists2019.html,,,
出典,公立：東京都教育委員会、私立：東京都生活文化局,,,私立,https://www.seikatubunka.metro.tokyo.lg.jp/shigaku/,,,
年次,2020/3/12取得,,,,,,,
URL,複数あり、右に記載,,,,,,,
備考,国立幼稚園～高校は都心五区に存在しない,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,公私,カテゴリ
港区,芝公園４丁目,-,東京都港区芝公園4-7-4,35.656965,139.746681,明徳幼稚園,私立,幼稚園
新宿区,若松町,-,東京都新宿区若松町13-1,35.699346,139.716117,余丁町,公立,幼稚園
新宿区,若松町,-,東京都新宿区若松町13-1,35.699346,139.716117,余丁町,公立,小学校
新宿区,若松町,-,東京都新宿区若松町17-18,35.699139,139.7142315,合気道学校,私立,各種学校
新宿区,若松町,-,東京都新宿区若松町2-1,35.697312,139.721004,東京韓国学校初等部,私立,各種学校
新宿区,若松町,-,東京都新宿区若松町2-1,35.697312,139.721004,東京韓国学校中・高等部,私立,各種学校
新宿区,若葉１丁目,-,東京都新宿区若葉１－２３－１　,35.682939,139.7273895,学習院初等科,私立,小学校
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-20-5,35.66313,139.704534,東京サイクルデザイン専門学校,私立,専修学校
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-21-10,35.663364,139.7036115,住田美容専門学校,私立,専修学校
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-21-18,35.663814,139.703094,ブリティッシュ･スクール･イン東京,私立,各種学校
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-21-18,35.663814,139.703094,渋谷幼稚園,私立,幼稚園
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷１－２１－１８,35.663814,139.703094,渋谷教育学園渋谷高等学校,私立,高等学校（全日制）
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷１－２１－１８,35.663814,139.703094,渋谷教育学園渋谷中学校,私立,中学校
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-21-7,35.663661,139.7036205,渋谷ファッション＆アート専門学校,私立,専修学校
