指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2020/3/9取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ
港区,三田３丁目,-,東京都港区三田3丁目4-7,35.646462,139.7437335,蓮乗寺,寺院
港区,三田３丁目,-,東京都港区三田3丁目9-9,35.641152,139.7408895,成覚寺,寺院
港区,三田４丁目,-,東京都港区三田4-11-14,35.643726,139.7382615,南台寺,寺院
港区,三田４丁目,-,東京都港区三田4-11-19,35.643942,139.738437,玉鳳寺,寺院
港区,三田４丁目,-,東京都港区三田4-11-31,35.643015,139.738752,荘厳寺,寺院
港区,三田４丁目,-,東京都港区三田4-12-6,35.644491,139.740273,大増寺,寺院
港区,三田４丁目,-,東京都港区三田4-13-17,35.644815,139.7410785,明円寺,寺院
港区,三田４丁目,-,東京都港区三田4-1-35,35.647335,139.7410335,西蔵院,教会
港区,三田４丁目,-,東京都港区三田4-1-38,35.647515,139.741137,大松寺,寺院
港区,三田４丁目,-,東京都港区三田4-14-15,35.646381,139.742235,阿含宗関東別院,寺院
港区,三田４丁目,-,東京都港区三田4-7-29,35.644095,139.7373975,長松寺,寺院
港区,三田４丁目,-,東京都港区三田4丁目11-30,35.642925,139.739175,常教寺,寺院
港区,三田４丁目,-,東京都港区三田4丁目11-8,35.643483,139.737717,清久寺,寺院
港区,三田４丁目,-,東京都港区三田4丁目12-15,35.643744,139.7396295,実相寺,寺院
港区,三田４丁目,-,東京都港区三田4丁目1-27,35.646507,139.7403855,大聖院,寺院
港区,三田４丁目,-,東京都港区三田4丁目16-23,35.643654,139.741479,済海寺,寺院
港区,三田４丁目,-,東京都港区三田4丁目1-9,35.647731,139.7418525,長運寺,寺院
港区,三田４丁目,-,東京都港区三田4丁目3-20,35.64522,139.7391165,宗教法人林泉寺,寺院
港区,三田４丁目,-,東京都港区三田4丁目3-24,35.645382,139.7394405,慈眼寺・曹洞宗,寺院
港区,三田４丁目,-,東京都港区三田4丁目4-14,35.64495,139.739832,明福寺,寺院
港区,三田４丁目,-,東京都港区三田4丁目5-12,35.643924,139.738959,仙翁寺,寺院
港区,三田４丁目,-,東京都港区三田4丁目5-14,35.644293,139.739391,常林寺,寺院
港区,三田４丁目,-,東京都港区三田4丁目7-20,35.643636,139.7368935,大信寺,寺院
港区,三田４丁目,-,東京都港区三田4丁目7-30,35.64423,139.737834,忍願寺,寺院
港区,三田４丁目,-,東京都港区三田4丁目8-19,35.642556,139.7386215,キリスト友会東京月会,教会
港区,三田４丁目,-,東京都港区三田4丁目8-23,35.642376,139.7381715,薬王寺,寺院
港区,三田４丁目,-,東京都港区三田4丁目8-36,35.642718,139.737042,徳玄寺,寺院
港区,三田４丁目,-,東京都港区三田4丁目8-38,35.643096,139.737222,宝徳寺,寺院
港区,三田５丁目,-,東京都港区三田5丁目9-23,35.646471,139.7370555,龍源寺,寺院
千代田区,三番町,-,東京都千代田区三番町2,35.689698,139.745997,納涼の夕べ,寺院
新宿区,四谷１丁目,-,東京都新宿区四谷1-14,35.684289,139.7277405,四谷新生教会,教会
新宿区,四谷１丁目,-,東京都新宿区四谷1-14,35.684289,139.7277405,日本基督教団 四谷新生教会,教会
新宿区,四谷１丁目,-,東京都新宿区四谷1丁目2,35.685765,139.728969,サンパウロ 聖品販売,教会
新宿区,四谷４丁目,-,東京都新宿区四谷4-33-2,35.689905,139.714749,長善寺,寺院
新宿区,四谷４丁目,-,東京都新宿区四谷4-34,35.690562,139.71537,東長寺,寺院
新宿区,四谷４丁目,-,東京都新宿区四谷4丁目18-7,35.689122,139.717071,日の御教東京教会,教会
新宿区,四谷４丁目,-,東京都新宿区四谷4丁目21-10,35.690121,139.7168775,金光教 四谷教会,教会
新宿区,四谷４丁目,-,東京都新宿区四谷4丁目4,35.686917,139.7177235,笹寺,寺院
新宿区,四谷坂町,-,東京都新宿区四谷坂町4-34,35.690157,139.7270925,日本基督教団 千代田教会,教会
新宿区,四谷坂町,-,東京都新宿区四谷坂町6-10,35.690652,139.7262285,日本キリスト改革派東京教会,教会
千代田区,四番町,-,東京都千代田区四番町3-2,35.689293,139.73913,金光教麹町教会,教会
新宿区,市谷砂土原町１丁目,-,東京都新宿区市谷砂土原町1-1 保健会館別館 1F,35.694117,139.736214,日本福音ルーテル市ヶ谷教会,教会
新宿区,市谷山伏町,-,東京都新宿区市谷山伏町1-7,35.699751,139.7283435,常敬寺,寺院
新宿区,市谷八幡町,-,東京都新宿区市谷八幡町15,35.692713,139.733748,市谷亀岡八幡宮,神社
新宿区,市谷薬王寺町,-,東京都新宿区市谷薬王寺町25,35.697213,139.7241,長厳寺,寺院
新宿区,市谷薬王寺町,-,東京都新宿区市谷薬王寺町27,35.697096,139.7244735,浄栄寺,寺院
港区,芝１丁目,-,東京都港区芝1-12-18,35.65053,139.7547225,安楽寺,寺院
港区,芝１丁目,-,東京都港区芝1-13-6,35.650071,139.754727,圓珠寺,寺院
港区,芝１丁目,-,東京都港区芝1丁目13-22,35.649999,139.754196,了善寺,寺院
港区,芝１丁目,-,東京都港区芝1丁目9-11,35.651187,139.7545965,勧勝寺,寺院
港区,芝２丁目,-,東京都港区芝2-8-6,35.652285,139.7509875,曹洞宗宗務庁 出版部 出版課,寺院
港区,芝２丁目,-,東京都港区芝2丁目,35.65211165,139.7517491,西應寺,寺院
港区,芝２丁目,-,東京都港区芝2丁目30-8,35.650008,139.7519235,法泉寺,寺院
港区,芝２丁目,-,東京都港区芝2丁目5-2,35.652726,139.7510955,曹洞宗宗務庁,寺院
港区,芝３丁目,-,東京都港区芝3-12-19,35.652753,139.7460375,柳神社,神社
港区,芝３丁目,-,東京都港区芝3-20-2,35.651934,139.7470725,金光教 御田教会,教会
