指標名,保育園,,,認可保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/shisetsuitiran.html,,,,
出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,
年次,2020/3/11取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,
URL,複数あり、右に記載,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,
備考,,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,定員備考
港区,白金１丁目,-,東京都港区白金１－２６－１０　白金Ｋ－ＦＬＡＴ１階、２階の一部,35.643897,139.7335095,ゆらりん白金保育園,認可,50,
中央区,入船３丁目,-,東京都中央区入船３－５－１０　藤和入船ビル２階,35.670834,139.7762865,ブライト保育園東京入船,認可,50,
中央区,入船１丁目,-,東京都中央区入船１－１－１３,35.673732,139.778154,桜川保育園,認可,115,
中央区,入船１丁目,-,東京都中央区入船1-1-24,35.673435,139.7771055,はぐみっく保育園  八丁堀園,認可外,17,
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町３－８－３,35.689356,139.7761245,KIDS  GARDEN  にほんばし,認可外,,
中央区,日本橋堀留町２丁目,-,東京都中央区日本橋堀留町二丁目８番４号　日本橋コアビル１階,35.68851,139.781358,ほっぺるランド日本橋堀留町,認可,70,
中央区,日本橋堀留町１丁目,-,東京都中央区日本橋堀留町１－１－１　２階,35.687538,139.778982,中央区立堀留町保育園,認可,81,
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町１０－１８　ユニゾ東日本橋ビル２階,35.68941,139.7820465,かふう保育園日本橋,認可,70,
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町14-1  北祥ビル1F,35.689545,139.783077,FUTURE児童園・日本橋,認可外,26,
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町２－６,35.687907,139.783743,さくらさくみらい人形町,認可,74,
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町4-1  ミズホビル2階,35.687808,139.782807,まちのてらこや保育園,認可外,34,
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町6-5  アソルティ人形町 １階,35.688258,139.7831355,みらいえインターナショナルスクール人形町,認可外,19,
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町９－１０　稲村ビル１階,35.689473,139.7828385,あい保育園日本橋,認可,60,
中央区,日本橋浜町３丁目,-,東京都中央区日本橋浜町3-3-1トルナーレ日本橋浜町2階,35.684802,139.78836,ニチイキッズさわやか日本橋浜町保育園,認証A,29,
中央区,日本橋浜町３丁目,-,東京都中央区日本橋浜町３－３７－１,35.685477,139.791285,浜町保育園,認可,125,
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2-1-1  田辺浜町ビル1階,35.685405,139.7871225,野菜を好きになる保育園  ベジ・キッズ,認可外,19,
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町２－４４－４　第１７村上ビル１・２階,35.687583,139.788126,キッズハウス浜町公園,認可,60,
中央区,日本橋浜町１丁目,-,東京都中央区日本橋浜町１－９－２　日本橋プラヤビル２階,35.690202,139.7877165,あい・あい保育園日本橋浜町園,認可,50,
中央区,日本橋浜町１丁目,-,東京都中央区日本橋浜町1-3-13栗田ビル1F,35.689824,139.786137,コトナキッズ保育園,認可外,21,
中央区,日本橋箱崎町,-,東京都中央区日本橋箱崎町１７番９号　箱崎升喜ビル１・２階,35.680509,139.7851335,コビープリスクールはこざき,認可,70,
中央区,日本橋箱崎町,-,東京都中央区日本橋箱崎町19-21IBM箱崎ビル内1階,35.678673,139.7870955,日本IBM  こがも保育園～ TheWildDucklingNurserySchool～,認可外,3,
中央区,日本橋箱崎町,-,東京都中央区日本橋箱崎町44-7箱崎ＹＭビル,35.681796,139.7889045,グローバルキッズ水天宮前園,認証A,40,
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町7番３号  ５階,35.689968,139.779558,大伝馬ふれあい保育園,認可外,,
中央区,日本橋人形町３丁目,-,東京都中央区日本橋人形町3-2-5-１F,35.686413,139.7801835,スプリング保育所,認可外,14,
中央区,日本橋人形町３丁目,-,東京都中央区日本橋人形町3-4-14　KDX人形町ビル2階,35.686125,139.7813355,アスク人形町駅前保育園,認証A,40,
中央区,日本橋人形町３丁目,-,東京都中央区日本橋人形町３－５－９  山喜ビル３階,35.686656,139.7810295,アウルインターナショナルスクール  日本橋校,認可外,,
中央区,日本橋人形町３丁目,-,東京都中央区日本橋人形町三丁目７番５号　ＩＫＴビル１～４階,35.686602,139.781349,モニカ人形町園,認可,60,
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町２－１４－５,35.684595,139.784823,人形町保育園,認可,105,
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町１３－７　銀泉日本橋小伝馬町ビル1～４階,35.691165,139.7796075,にじいろ保育園小伝馬町,認可,72,
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町５－１,35.691093,139.7769255,十思保育園,認可,94,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1三井二号館2階,35.686935,139.7730555,キッズスクウェア日本橋室町,認可外,19,
中央区,日本橋久松町,-,東京都中央区日本橋久松町９－４,35.688789,139.7853765,ナーサリールーム　ベリーベアー日本橋,認可,60,
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町1-13-21,35.680365,139.7807685,花王株式会社メリーズガーデン,認可外,30,
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町２－１５－５ 水天宮ＣＰビル１～４階,35.684325,139.7869065,学栄ナーサリー日本橋蛎殻町保育園,認可,156,
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町１－１－２,35.680869,139.7834955,日本橋保育園,認可,91,
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町一丁目１６番１１号　ユニゾ蛎殻町一丁目ビル１・２階,35.683128,139.7825235,グローバルキッズかきがら園,認可,45,
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町一丁目２９番９号 ネオテック水天宮ビル１～２階,35.683137,139.7839005,あい保育園水天宮,認可,90,
千代田区,二番町,-,東京都千代田区二番町２－１　二番町ＴＳビル,35.686818,139.7375955,アスク二番町保育園,認可,100,
千代田区,二番町,-,東京都千代田区二番町７－５,35.685495,139.7351745,二番町ちとせ保育園,認可,100,
港区,南麻布５丁目,-,東京都港区南麻布5-10-24  第2佐野ビル2Ｆ,35.6526,139.72239,広尾キッズワールド,認可外,44,
港区,南麻布５丁目,-,東京都港区南麻布5-1-11Ｑｉｚ広尾3階,35.655084,139.72275,ポピンズナーサリースクール広尾,認証A,33,
港区,南麻布５丁目,-,東京都港区南麻布5-16-13グリーンコア広尾1階,35.651574,139.723623,キッズガーデン広尾,認可外,30,
港区,南麻布５丁目,-,東京都港区南麻布5-6-8,35.653563,139.7266425,ナーサリールーム,認証A,35,
港区,南麻布４丁目,-,東京都港区南麻布４－１１－３０　南麻布渋谷ビル２階,35.647002,139.7271375,太陽の子南麻布保育園,認可,70,
港区,南麻布４丁目,-,東京都港区南麻布４－２－２９－１０１,35.64774,139.724154,南麻布保育園,認可,105,
港区,南麻布４丁目,-,東京都港区南麻布４－６－７,35.650989,139.727385,本村保育園,認可,112,
港区,南麻布３丁目,-,東京都港区南麻布3-11-4,35.648883,139.729167,Ivy  Prep  International School,認可外,-,設定なし
港区,南麻布３丁目,-,東京都港区南麻布3-5-15,35.651061,139.730436,港区緊急暫定保育施設  港区南麻布三丁目保育室,認可外,76,
港区,南麻布２丁目,-,東京都港区南麻布２－１１－１０　ＯＪビル３階,35.647704,139.7357685,あい保育園南麻布,認可,128,
港区,南麻布２丁目,-,東京都港区南麻布2-8-18,35.648451,139.7355885,シャトーデバンビーニモンテッソーリスクール,認可外,60,
港区,南麻布１丁目,-,東京都港区南麻布１－８－１１　東町小学校内,35.650917,139.735872,まなびの森保育園麻布,認可,60,
新宿区,南町,-,東京都新宿区南町２０番地３,35.698356,139.735134,アスク新宿南町保育園,認可,89,
港区,南青山６丁目,-,東京都港区南青山6-13-14,35.65926,139.7148885,ローラスインターナショナルスクールオブ  サイエンス  青山校,認可外,120,
港区,南青山４丁目,-,東京都港区南青山4-1-15  ベルテ南青山Ⅰ104,35.666703,139.7199465,ステラプリスクール南青山,認可外,25,
港区,南青山４丁目,-,東京都港区南青山４－１５－８　南青山２４６ビル,35.664948,139.718304,小学館アカデミー南青山保育園,認可,50,
港区,南青山４丁目,-,東京都港区南青山４－１－６　セブン南青山１階、２階,35.667279,139.7191275,太陽の子南青山保育園,認可,60,
港区,南青山４丁目,-,東京都港区南青山4-19-18,35.663913,139.71654,港区青南保育室,認可外,120,
港区,南青山４丁目,-,東京都港区南青山4-19-5,35.664174,139.7167785,港区第二青南保育室,認可外,94,
港区,南青山４丁目,-,東京都港区南青山4－20－3メゾン・ド・ラーク,35.664579,139.7160855,南青山たんぽぽ保育所,認可外,15,
港区,南青山４丁目,-,東京都港区南青山4-7-11-101,35.665794,139.7189835,COMO EN CASA  青山キッズクラブ,認可外,12,
港区,南青山３丁目,-,東京都港区南青山3-9-5,35.665965,139.7156985,クラレンスインターナショナルスクール,認可外,40,
港区,南青山２丁目,-,東京都港区南青山2-1-1,35.672292,139.7236905,本田技研工業株式会社  一時保育,認可外,18,
港区,南青山２丁目,-,東京都港区南青山2-18-11ARUMAKAN101,35.669133,139.7198025,SOH,認可外,10,
港区,南青山２丁目,-,東京都港区南青山2-7-7,35.670366,139.7227365,MOEGI HOUSE,認可外,10,
港区,南青山２丁目,-,東京都港区南青山2-9-23,35.67024,139.721373,ドリームキッズ  ネットワーク,認可外,42,
