指標名,ホテル,,,,,,,,
出典,Hotels.com,,,,,,,,
年次,GPCI2021,,,,,,,,
URL,https://hotels.com/,,,,,,,,
備考,GPCI-2020：1332軒　GPCI-2021：1649軒,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,星数,室数,ホテルURL
品川区,上大崎２丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.634136,139.714688,Smoking Triple bed Width 120cm x 3 / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642758176
品川区,北品川１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.621828,139.740382,Private Accommodation - Kago 34 / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1779649504
品川区,大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.604319,139.732792,eos Hotel Oimachi 802 - 801 / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642831872
品川区,東中延１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.610506,139.714614,Deluxe Room 51m2 max 10 People / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1721975968
品川区,上大崎２丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.634136,139.714688,Smoking Suite bed Width 120cm x 2 / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1642759040
品川区,西大井１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.601186,139.723154,Bali Style Capacity 2 People Corona Measures / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1951233568
品川区,二葉４丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.601764,139.715021,NEW Open Renovated Detached House 23 Floor Ni / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho2091589152
品川区,東中延１丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.610506,139.714614,Deluxe Room 43m2 Max 6 People / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1659068480
品川区,二葉４丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.601764,139.715021,NEW Open Renovated Detached House 1st Floor Ni / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho2091589440
品川区,南品川４丁目,-,"Tokyo, Tokyo Prefecture, Japan",35.613288,139.737522,3 Storey House Disney Up to 9 Guests Free pa / Shinagawa-ku Tokyo,0,1,https://www.hotels.com/ho1720066752
