指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2022/1/26取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,2020年度：645件、2021年度：679件,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間・備考
江東区,清澄２丁目,-,東京都江東区清澄2-2,35.680455,139.795630,H1-103.清澄庭園 / Kiyosumi Teien Park,-, 24時間 / Open for 24 hours
江東区,平野４丁目,-,東京都江東区平野4-6,35.678153,139.808172,H1-104.木場公園 / Kiba Park,-, 24時間 / Open for 24 hours
江東区,毛利２丁目,-,東京都江東区毛利2-13,35.691256,139.818115,H1-105.猿江恩賜公園 / Sarue Onshi Park,-, 24時間 / Open for 24 hours
江東区,亀戸８丁目,-,東京都江東区亀戸8-2,35.699415,139.835279,H1-106.亀戸中央公園 / Kameido Chuo Park,-, 24時間 / Open for 24 hours
江東区,大島９丁目,-,東京都江東区大島9-8,35.693351,139.847076,H1-107.大島小松川公園 / Ojima Komatsugawa Park,-, 24時間 / Open for 24 hours
江東区,東雲１丁目,-,東京都江東区東雲1-9,35.647664,139.805164,H1-108.Brillia ist 東雲キャナルコート北側 /Brillia ist Shinonome Canal Court North,-, 24時間 / Open for 24 hours
江東区,東雲１丁目,-,東京都江東区東雲1-9,35.647664,139.805164,H1-109.Brillia ist 東雲キャナルコート東側 / Brillia ist Shinonome Canal Court East,-, 24時間 / Open for 24 hours
江東区,木場６丁目,-,東京都江東区木場6-4-20,35.666807,139.807708,H1-111.ファミリーマート木場六丁目店 / Family Mart Kiba 6Chome Store,-, 24時間 / Open for 24 hours
江東区,塩浜２丁目,-,東京都江東区塩浜2-14-1,35.662971,139.808669,H1-112.ファミリーマート江東塩浜二丁目店 / Family Mart Koto Shiohama 2Chome Store,-, 24時間 / Open for 24 hours
江東区,東雲１丁目,-,東京都江東区東雲1-6-13,35.646662,139.801195,H1-113.123+N東雲店 / 123+N Shinonome Shop,-, 24時間 / Open for 24 hours
江東区,夢の島２丁目,-,東京都江東区夢の島2-1,35.649254,139.826495,H1-114.東京夢の島マリーナ / Tokyo Yumenoshima Marina,-, 24時間 / Open for 24 hours
江東区,夢の島３丁目,-,東京都江東区夢の島3-2,35.650326,139.836281,H1-115.東京夢の島マリーナ 第4駐車場 / Tokyo Yumenoshima Marina 4th Parking,-, 24時間 / Open for 24 hours
江東区,青海１丁目,-,東京都江東区青海1-3,35.624922,139.781323,H1-116.出会い橋高架下 / Deaibashi Bridge (underpass),-, 24時間 / Open for 24 hours
江東区,木場５丁目,-,東京都江東区木場5-8-40,35.671103,139.808627,H1-117.東京パークサイドビル / Tokyo Parkside Building,-, 24時間 / Open for 24 hours
江東区,亀戸２丁目,-,東京都江東区亀戸2-22-12,35.698281,139.825403,H1-118.ファミリーマート亀戸駅前店 / Family Mart Kameido Ekimae Store,-, 24時間 / Open for 24 hours
江東区,新木場３丁目,-,東京都江東区新木場3-6-6,35.638416,139.834723,"H1-119.榎戸材木店 / Enokido Lumber Co., LTD",-, 24時間 / Open for 24 hours
江東区,豊洲５丁目,-,東京都江東区豊洲5-6-52,35.650589,139.799276,H1-120.豊洲5丁目 / Toyosu 5 Chome,-, 24時間 / Open for 24 hours
江東区,南砂５丁目,-,東京都江東区南砂5-8-1,35.675464,139.829445,H1-121.南砂5丁目 / Minamisuna 5-Chome,-, 24時間 / Open for 24 hours
江東区,東砂４丁目,-,東京都江東区東砂4-24-1,35.679186,139.839443,H1-122.東砂スポーツセンター / Higashisuna Sports Center,-, 24時間 / Open for 24 hours休館日は第2・第4月曜日(休日にあたる場合は、その翌日)
江東区,有明３丁目,-,東京都江東区有明3-7-3,35.634541,139.792019,H1-123.ダイワロイネットホテル東京有明 / Daiwa Roynet Hotel Tokyo-Ariake,-, 24時間 / Open for 24 hours
江東区,海辺,-,東京都江東区海辺2-7,35.680369,139.817943,H1-124.セブン‐イレブン江東海辺店 / Seven-Eleven Koto Umibe store,-, 24時間 / Open for 24 hours
江東区,牡丹２丁目,-,東京都江東区牡丹2-1,35.669612,139.795356,H1-127.古石場川親水公園 / Furuishiba river water park,-, 24時間 / Open for 24 hours
江東区,豊洲６丁目,-,東京都江東区豊洲6-3,35.646481,139.787899,H1-128.豊洲市場（5街区）/ Toyosu Market Block5,-, 24時間 / Open for 24 hours
江東区,豊洲６丁目,-,東京都江東区豊洲6-5,35.644920,139.782405,H1-129.豊洲市場（6街区）/ Toyosu Market Block6,-, 24時間 / Open for 24 hours
江東区,千石２丁目,-,東京都江東区千石2-12-24,35.677133,139.816485,H1-130.トヨタモビリティ東京 深川南・北店 / TOYOTA Mobility Fukagawaminami Kita,-, 24時間 / Open for 24 hours
江東区,佐賀２丁目,-,東京都江東区佐賀2-12-7,35.678919,139.793460,H1-131.セブン-イレブン江東佐賀2丁目店 / Seven-Eleven Koto Saga 2chome Store,-, 24時間 / Open for 24 hours
江東区,三好４丁目,-,東京都江東区三好4-6-7,35.681344,139.809378,H1-132.セブン-イレブン江東三好4丁目店 / Seven-Eleven Koto Miyoshi 4chome Store,-, 24時間 / Open for 24 hours
江東区,北砂２丁目,-,東京都江東区北砂2-9,35.679467,139.825995,H1-133.北砂2丁目公園 / Kitasuna 2 chome park,-, 24時間 / Open for 24 hours
江東区,豊洲６丁目,-,東京都江東区豊洲6-5先,35.644920,139.782405,H1-134.豊洲ぐるり公園 / Toyosu Gururi park,-, 24時間 / Open for 24 hours
江東区,北砂５丁目,-,東京都江東区北砂5-20,35.684016,139.832927,H1-135.北砂5丁目団地 / Kitasuna 5 chome Danchi,-, 24時間 / Open for 24 hours
江東区,東砂１丁目,-,東京都江東区東砂1-2-13,35.683780,139.839699,H1-136.東砂一丁目公園 / Higashisuna 1 chome Park,-, 24時間 / Open for 24 hours
江東区,有明２丁目,-,東京都江東区有明2-1-8,35.638568,139.792846,H1-137.住友不動産ショッピングシティ有明ガーデン / ARIAKE GARDEN,-, 24時間 / Open for 24 hours
江東区,新大橋３丁目,-,東京都江東区新大橋3-5-4,35.687390,139.795575,H1-138.HW.HILLS新大橋 / HW.HILLS Shin-Ohashi,-, 24時間 / Open for 24 hours
江東区,住吉２丁目,-,東京都江東区住吉2-16-11,35.689998,139.815121,H1-140.キャナルパレス住吉 / The Canal Palace SUMIYOSHI,-, 24時間 / Open for 24 hours
江東区,亀戸２丁目,-,東京都江東区亀戸2‐13-6,35.699033,139.822759,H1-141.スーパーホテル東京・亀戸 / Super Hotel Tokyo Kameido,-, 24時間 / Open for 24 hours
江東区,潮見２丁目,-,東京都江東区潮見2-8-6,35.657680,139.818887,H1-142.東京ベイ潮見プリンスホテル / Tokyo Bay Shiomi Prince Hotel,-, 24時間 / Open for 24 hours
江東区,青海１丁目,-,東京都江東区青海1-1-20,35.625101,139.776415,H1-143.ダイバーシティ東京 プラザ / DiverCity Tokyo Plaza,-, 24時間 / Open for 24 hours
江東区,南砂２丁目,-,東京都江東区南砂2-3-1,35.670265,139.821987,H1-144.南砂住宅 / Minamisuna Juutaku,-, 24時間 / Open for 24 hours
江東区,東雲２丁目,-,東京都江東区東雲2-4-1,35.642418,139.798070,H1-145.東雲都橋住宅 / Shinonome Miyakobashi Juutaku,-, 24時間 / Open for 24 hours
江東区,東陽２丁目,-,東京都江東区東陽2-3-12,35.667837,139.816835,H1-146.ホテルルートインGrand東京東陽町 / HOTEL ROUTE-INN Grand TOKYO TOYOCHO,-, 24時間 / Open for 24 hours
江東区,大島４丁目,-,東京都江東区大島4-1-1,35.687754,139.827447,H1-147.大島四丁目団地 / Ojima 4 chome Danchi,-, 24時間 / Open for 24 hours
江東区,大島７丁目,-,東京都江東区大島7-13,35.694035,139.838960,H1-148.大島七丁目団地 / Ojima 7 chome Danchi,-, 24時間 / Open for 24 hours
江東区,有明２丁目,-,東京都江東区有明2-1-8,35.638568,139.792846,H1-149.有明ガーデン 公園口 / ARIAKE GARDEN PARK ENTRANCE,-, 24時間 / Open for 24 hours
江東区,有明２丁目,-,東京都江東区有明2-1-8,35.638568,139.792846,H1-150. ホテルヴィラフォンテーヌ南側 / Hotel Villa Fontaine South side,-, 24時間 / Open for 24 hours
江東区,亀戸２丁目,-,東京都江東区亀戸2-7-7,35.701302,139.820215,H1-151.レオーネ錦糸町 / Leone Kinshicho,-, 24時間 / Open for 24 hours
江東区,亀戸２丁目,-,東京都江東区亀戸2-29-4,35.699122,139.824242,H1-152.コンポジット亀戸ウエスト / Composite Kameido West,-, 24時間 / Open for 24 hours
江東区,新木場２丁目,-,東京都江東区新木場2-3-13,35.639227,139.824054,H1-153.三井リンクラボ新木場1 / MITSUI LINK-Lab SHINKIBA1,-, 24時間 / Open for 24 hours
江東区,有明３丁目,-,東京都江東区有明3,35.631619,139.788255,H1-154.やぐら橋下 / Yagurabashi shita,-, 24時間 / Open for 24 hours
江東区,豊洲６丁目,-,東京都江東区豊洲6-5-34,35.644920,139.782405,H1-155.メブクス豊洲 / MEBKS TOYOSU,-, 24時間 / Open for 24 hours
江東区,有明３丁目,-,東京都江東区有明3-3,35.630932,139.786483,H1-156.つどい橋下 / Tsudoibashi,-, 24時間 / Open for 24 hours
江東区,北砂３丁目,-,東京都江東区北砂3-30-1,35.679417,139.827884,H1-157.ダイナム砂町銀座店 / Dynam Sunamachiginza Store,-, 24時間 / Open for 24 hours
江東区,有明２丁目,-,東京都江東区有明2-2,35.635849,139.788024,H1-158.ウエストプロムナード / West Promenade,-, 24時間 / Open for 24 hours
江東区,青海１丁目,-,東京都江東区青海1-2,35.627252,139.778937,H1-159.夢の大橋西 / Yume-no-ohashi West,-, 24時間 / Open for 24 hours
