指標名,バス停,,,,,NAVITIMEの検索区分ではなく、緯度経度情報をもとに位置情報を掲載。,,,,,,,,
出典,NAVITIME,,,,,昨年度から名称が変更されたバス停がある,,,,,,,,
年次,2022/2/3取得,,,,,例：「高齢者ケアセンター」→「かんなみの杜・渋谷」,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,　　「東品川シルバーセンター前」→「東品川ゆうゆうプラザ前」,,,,,,,,
備考,路線ごとに1データあるので、エリアごとのバス停の数が知りたい場合は「1÷路線数」を合計する。,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面１,方面URL1,方面２,方面ULR２
江東区,亀戸２丁目,-,東京都江東区亀戸２丁目２０　,35.69789,139.82540,亀戸駅前,11,0.091,亀２９,[都営バス],なぎさニュータウン方面,https://www.navitime.co.jp/diagram/bus/00016704/00004111/0/,-,-
江東区,亀戸２丁目,-,東京都江東区亀戸２丁目２０　,35.69789,139.82540,亀戸駅前,11,0.091,亀２３(亀戸駅前-江東高齢者医療センター),[都営バス],江東高齢者医療センター方面,https://www.navitime.co.jp/diagram/bus/00016704/00004107/1/,-,-
江東区,亀戸２丁目,-,東京都江東区亀戸２丁目２０　,35.69789,139.82540,亀戸駅前,11,0.091,門３３,[都営バス],豊海水産埠頭方面,https://www.navitime.co.jp/diagram/bus/00016704/00004319/0/,-,-
江東区,亀戸２丁目,-,東京都江東区亀戸２丁目２０　,35.69789,139.82540,亀戸駅前,11,0.091,亀２６,[都営バス],今井〔都営バス〕方面,https://www.navitime.co.jp/diagram/bus/00016704/00004110/0/,-,-
江東区,亀戸２丁目,-,東京都江東区亀戸２丁目２０　,35.69789,139.82540,亀戸駅前,11,0.091,草２４,[都営バス],浅草寿町方面,https://www.navitime.co.jp/diagram/bus/00016704/00004262/1/,東大島駅前〔大島口〕方面,https://www.navitime.co.jp/diagram/bus/00016704/00004262/0/
江東区,亀戸２丁目,-,東京都江東区亀戸２丁目４５－２　,35.70139,139.82511,亀戸四丁目,4,0.250,門３３,[都営バス],亀戸駅前方面,https://www.navitime.co.jp/diagram/bus/00016706/00004319/1/,豊海水産埠頭方面,https://www.navitime.co.jp/diagram/bus/00016706/00004319/0/
江東区,亀戸２丁目,-,東京都江東区亀戸２丁目４５－２　,35.70139,139.82511,亀戸四丁目,4,0.250,里２２(日暮里駅前-亀戸駅前),[都営バス],亀戸駅前方面,https://www.navitime.co.jp/diagram/bus/00016706/00004301/1/,日暮里駅前方面,https://www.navitime.co.jp/diagram/bus/00016706/00004301/0/
江東区,亀戸２丁目,-,東京都江東区亀戸２丁目４５－２　,35.70139,139.82511,亀戸四丁目,4,0.250,上２６,[都営バス],上野公園（東京都）方面,https://www.navitime.co.jp/diagram/bus/00016706/00004098/1/,亀戸駅前方面,https://www.navitime.co.jp/diagram/bus/00016706/00004098/0/
江東区,亀戸２丁目,-,東京都江東区亀戸２丁目４５－２　,35.70139,139.82511,亀戸四丁目,4,0.250,草２４,[都営バス],浅草寿町方面,https://www.navitime.co.jp/diagram/bus/00016706/00004262/1/,東大島駅前〔大島口〕方面,https://www.navitime.co.jp/diagram/bus/00016706/00004262/0/
江東区,亀戸３丁目,-,東京都江東区亀戸３丁目３６　,35.70731,139.81997,柳島(東京都),1,1.000,門３３,[都営バス],亀戸駅前方面,https://www.navitime.co.jp/diagram/bus/00017754/00004319/1/,豊海水産埠頭方面,https://www.navitime.co.jp/diagram/bus/00017754/00004319/0/
