指標名,食べログアワード受賞レストラン,,,,,,,,,,,,,,
出典,The Tabelog Award 2021,,,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,,,
備考,（2019年度：275件、2020年度：208件、2021年度：211件）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,アワード,初選出,星数,口コミ数,夜予算,昼予算,備考,URL
中央区,銀座７丁目,-,東京都中央区銀座7-8-15 第2新橋会館 7F,35.669089,139.762195,神戸牛炉釜炭焼ステーキ IDEA 銀座（イデア）,ステーキ、フレンチ、炭火焼き,BRONZE,,3.84,130 件,"￥20,000～￥29,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1301/A130101/13161192/
新宿区,神楽坂３丁目,-,東京都新宿区神楽坂3-4,35.700768,139.740957,虎白（こはく）,懐石・会席料理,SILVER,,4.38,374 件,"￥30,000～￥39,999","￥30,000～￥39,999",,https://tabelog.com/tokyo/A1309/A130905/13049130/
港区,六本木３丁目,六本木,東京都港区六本木3-8-7 PALビル 1F,35.66333,139.734489,虎峰（コホウ）,中華料理、創作料理、イノベーティブ・フュージョン,BRONZE,,3.99,227 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1307/A130701/13194122/
港区,三田５丁目,-,東京都港区三田5-2-18 三田ハウス 1F,35.647371,139.737476,コート ドール,フレンチ,SILVER,,4.21,496 件,"￥20,000～￥29,999","￥6,000～￥7,999",,https://tabelog.com/tokyo/A1316/A131602/13001681/
港区,西麻布２丁目,-,東京都港区西麻布2-15-1 三澤ビル Ｂ1Ｆ,35.661613,139.720949,豪龍久保,懐石・会席料理、割烹・小料理、そば,BRONZE,,4.3,121 件,"￥60,000～￥79,999",,【移転前の情報】,https://tabelog.com/tokyo/A1306/A130602/13156859/
港区,南麻布４丁目,-,東京都港区南麻布4-7-5,35.649576,139.728346,茶禅華（サゼンカ）,中華料理,GOLD,,4.5,291 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1307/A130703/13205298/
港区,六本木６丁目,六本木,東京都港区六本木6-12-2 六本木ヒルズ レジデンスB棟 3F,35.658789,139.729251,茶寮 宮坂,懐石・会席料理、割烹・小料理、京料理,BRONZE,,3.92,117 件,"￥15,000～￥19,999","￥4,000～￥4,999",,https://tabelog.com/tokyo/A1307/A130701/13216329/
中央区,銀座５丁目,-,東京都中央区銀座5-9-19 ＭＣビル3Ｆ,35.670477,139.765336,さわ田,寿司,GOLD,,4.54,277 件,"￥40,000～￥49,999","￥30,000～￥39,999",,https://tabelog.com/tokyo/A1301/A130101/13001043/
渋谷区,猿楽町,-,東京都渋谷区猿楽町3-9 アヴェニューサイド代官山1 2F,35.652056,139.704292,サンプリシテ（Simplicite）,フレンチ、モダンフレンチ,BRONZE,,4.19,174 件,"￥15,000～￥19,999","￥8,000～￥9,999",,https://tabelog.com/tokyo/A1303/A130303/13216899/
中央区,月島２丁目,-,"東京都中央区月島2-14-8 AMビル1,2F",35.662334,139.782954,在市 月島本店（ざいち）,ホルモン、焼肉,BRONZE,,3.86,515 件,"￥4,000～￥4,999",,,https://tabelog.com/tokyo/A1313/A131302/13095398/
中央区,京橋２丁目,日八京,東京都中央区京橋2-4-16 明治京橋ビル1F,35.676874,139.768961,シェ・イノ（Chez Inno）,フレンチ,BRONZE,,4.21,443 件,"￥20,000～￥29,999","￥8,000～￥9,999",,https://tabelog.com/tokyo/A1302/A130202/13000510/
